sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61bc5ca2c5eb11567ead4150,1,PAINT,ANI,30.0,version1
2,63be8af9bca7595bc8b9d48e,2,PAINT,ANI,0.0,version1
3,644a6f533aa9895f1b242f13,3,PAINT,ANI,0.0,version1
4,654b6598d726762824ae9c9e,4,PAINT,ANI,0.0,version1
5,646f5fb32102ac5b93e13e4d,5,PAINT,ANI,0.0,version1
6,64f6f640b5f53940ba779bcd,6,PAINT,ANI,0.0,version1
7,6540d835cb501b449cfea3cf,7,PAINT,ANI,0.0,version1
8,648ae578b2aadc44a3098066,8,PAINT,ANI,0.0,version1
9,648ae57ab2aadc44a3098068,9,PAINT,ANI,0.0,version1
10,648ae578b2aadc44a3098065,10,PAINT,ANI,0.0,version1
11,637dfb988062ac7fcbcb04a2,11,PAINT,ANI,0.0,version1
12,642ff02f3fca8994168857ea,12,PAINT,ANI,0.0,version1
13,643fc901e616ced1543c0921,13,PAINT,ANI,0.0,version1
14,6481ae11f8a7aa79d46abf48,14,PAINT,ANI,0.0,version1
15,6481ae01f8a7aa79d46abf34,15,PAINT,ANI,30.0,version1
16,64899b9fb2aadc44a30975ab,16,PAINT,ANI,0.0,version1
17,648ae56ab2aadc44a3098048,17,PAINT,ANI,0.0,version1
18,61b6ff2ed33e707408574fde,18,PAINT,ANI,0.0,version1
19,648c4194b2aadc44a3098f8a,19,PAINT,ANI,0.0,version1
20,64ad42ac9313055ba531f533,20,PAINT,ANI,0.0,version1
21,6492ddb51ae5fb72cadbfbf9,21,PAINT,ANI,0.0,version1
22,64562e3f3aa9895f1b248196,22,PAINT,ANI,30.0,version1
23,64426c0001e6c46b636d5775,23,PAINT,ANI,0.0,version1
24,64562e323aa9895f1b248185,24,PAINT,ANI,0.0,version1
25,64f6f646b5f53940ba779bd8,25,PAINT,ANI,0.0,version1
26,6521294c71c63d6aeda0fbd0,26,PAINT,ANI,0.0,version1
27,635284f2a3145f1256fc80b6,27,PAINT,ANI,0.0,version1
28,64a7da1d9313055ba531c2fd,28,PAINT,ANI,0.0,version1
29,638dd364473e71ee5e372ddc,29,PAINT,ANI,0.0,version1
30,65124322b71cba9dc1ba5e17,30,PAINT,ANI,0.0,version1
31,64f6f643b5f53940ba779bd3,31,PAINT,ANI,0.0,version1
32,65081a01d35d600a4a568aee,32,PAINT,ANI,0.0,version1
33,650a5055d35d600a4a569fa7,33,PAINT,ANI,0.0,version1
34,650d07540d476db23ce64601,34,PAINT,ANI,0.0,version1
35,650bb4c3bce68f6c3e01e58d,35,PAINT,ANI,0.0,version1
36,650bb4babce68f6c3e01e57f,36,PAINT,ANI,0.0,version1
37,650bb77bbce68f6c3e01e665,37,PAINT,ANI,0.0,version1
38,650a4b69d35d600a4a569f28,38,PAINT,ANI,0.0,version1
39,6294c4649386b7aedbd70515,39,PAINT,ANI,0.0,version1
40,650a824ca44df2a398a21298,40,PAINT,ANI,0.0,version1
41,650a71c0a44df2a3989d4f42,41,PAINT,ANI,0.0,version1
42,650a6ebea44df2a3989bfc43,42,PAINT,ANI,0.0,version1
43,65040d23a44df2a398a86e18,43,PAINT,ANI,0.0,version1
44,65040488a44df2a398a65b16,44,PAINT,ANI,0.0,version1
45,6475e7662102ac5b93e1a5cb,45,PAINT,ANI,30.0,version1
46,63eb60a41be6ac9ae0a1a398,46,PAINT,ANI,30.0,version1
47,64d36cd0e3cc3e2fb801d379,47,PAINT,ANI,0.0,version1
48,64d36cdfe3cc3e2fb801d38e,48,PAINT,ANI,0.0,version1
49,64464e5001e6c46b636d7d36,49,PAINT,ANI,0.0,version1
50,6364ef75a3145f1256fd86ba,50,PAINT,ANI,30.0,version1
51,64d60fc4e3cc3e2fb801ff95,51,PAINT,ANI,0.0,version1
52,6464aca4b5272586cd4be026,52,PAINT,ANI,0.0,version1
53,648ae577b2aadc44a3098063,53,PAINT,ANI,0.0,version1
54,64621dad3aa9895f1b2508cd,54,PAINT,ANI,0.0,version1
55,64d2f3a6e3cc3e2fb801c154,55,PAINT,ANI,0.0,version1
56,64d4b85be3cc3e2fb801ed82,56,PAINT,ANI,0.0,version1
57,64eea964b5f53940ba7732ed,57,PAINT,ANI,0.0,version1
58,63775f10231933abb2706071,58,PAINT,ANI,0.0,version1
