sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6442694401e6c46b636d5752,1,PAINT,ART,0.0,version1
2,64f6f7eeb5f53940ba779c6b,2,PAINT,ART,0.0,version1
3,64981d9c1ae5fb72cadc10c7,3,PAINT,ART,0.0,version1
4,64faf199d35d600a4a561099,4,PAINT,OBJ,0.0,version1
5,643691c8f912e511cc9e52c2,5,PAINT,ART,30.0,version1
6,6538ee8ac13dfaa4c2500c1a,6,PAINT,ART,0.0,version1
7,652faef41400d8b6d675da83,7,PAINT,ART,0.0,version1
8,650819fbd35d600a4a568ae5,8,PAINT,ART,0.0,version1
9,650819fcd35d600a4a568ae6,9,PAINT,ART,30.0,version1
10,650a706da44df2a3989cba67,10,PAINT,ART,0.0,version1
11,64f5a1d7b5f53940ba778185,11,PAINT,ART,0.0,version1
12,64afe4319313055ba5323362,12,PAINT,OBJ,30.0,version1
13,64eea96ab5f53940ba7732f7,13,PAINT,ART,0.0,version1
14,64b517729313055ba5329efa,14,PAINT,ART,30.0,version1
15,64df0871e3cc3e2fb8026206,15,PAINT,FLO,0.0,version1
16,64ad19229313055ba531f1b5,16,PAINT,ART,0.0,version1
17,64c0d68d890be1665696804a,17,PAINT,ART,0.0,version1
18,620c9af008a98e2f5a002537,18,PAINT,ART,0.0,version1
19,64bf837315da672b6dc4c4fc,19,PAINT,ART,30.0,version1
20,63e61e521be6ac9ae0a18b9e,20,PAINT,ART,0.0,version1
21,6374ba50231933abb2703e5e,21,PAINT,ART,0.0,version1
22,620c9af108a98e2f5a002538,22,PAINT,ART,0.0,version1
23,646de8a0e72c4297fd3236c6,23,PAINT,ART,0.0,version1
24,64996a9a1ae5fb72cadc23b6,24,PAINT,ART,0.0,version1
25,64807e089fee2ae4d98f4331,25,PAINT,ART,0.0,version1
26,64807e0c9fee2ae4d98f4336,26,PAINT,ART,0.0,version1
27,642e95b76a19448e1f86bb5a,27,PAINT,ART,0.0,version1
28,646b56b4f28f95ddf6dd370a,28,PAINT,ART,0.0,version1
29,647481cf2102ac5b93e15c37,29,PAINT,ART,0.0,version1
30,63720f26231933abb2701bc4,30,PAINT,ART,0.0,version1
31,6454d2bf3aa9895f1b246c36,31,PAINT,ART,0.0,version1
32,64490d7301e6c46b636de821,32,PAINT,ART,0.0,version1
33,6414429a2709bfc144c17705,33,PAINT,ART,0.0,version1
34,63ff40d84ecce27a6fe00dc3,34,PAINT,ART,0.0,version1
35,6437ec35e616ced1543b877d,35,PAINT,ART,0.0,version1
36,63736d6c231933abb2702cb5,36,PAINT,ART,30.0,version1
37,63720f0f231933abb2701ba3,37,PAINT,ART,30.0,version1
38,63d8daf715945b3985991bc6,38,PAINT,ART,30.0,version1
39,63720f07231933abb2701b98,39,PAINT,ART,0.0,version1
40,636e27e0a7d40d730afb8e77,40,PAINT,ART,0.0,version1
41,63aeb9acbca7595bc8b8cbaf,41,PAINT,ART,0.0,version1
42,632447ac60de5ff993ed2623,42,PAINT,ART,0.0,version1
43,63e0d75d15945b3985995acc,43,PAINT,ART,0.0,version1
44,64105eee2198b6f625440c8e,44,PAINT,ART,0.0,version1
45,63590ae0a3145f1256fca2fc,45,PAINT,ART,0.0,version1
46,63b4018bbca7595bc8b8d548,46,PAINT,ART,0.0,version1
47,63fdf26a4ecce27a6fdffd83,47,PAINT,ART,0.0,version1
48,63dcdaba15945b398599465b,48,PAINT,ART,30.0,version1
49,63736d61231933abb2702cab,49,PAINT,ART,30.0,version1
50,63e0d75b15945b3985995ac9,50,PAINT,ART,0.0,version1
51,63dcdabb15945b398599465c,51,PAINT,ART,30.0,version1
52,63da497e15945b3985992961,52,PAINT,ART,0.0,version1
53,6327e17d60de5ff993ed2b5e,53,PAINT,ART,0.0,version1
54,63720f21231933abb2701bbd,54,PAINT,ART,30.0,version1
55,62a94152cce6b2f7f51936b8,55,PAINT,ART,30.0,version1
56,63da493b15945b3985992949,56,PAINT,ART,0.0,version1
57,6399aadd473e71ee5e3784f1,57,PAINT,ART,0.0,version1
58,63bd3ddfbca7595bc8b9c36d,58,PAINT,ART,0.0,version1
59,63736d59231933abb2702c9f,59,PAINT,ART,0.0,version1
60,631b280160de5ff993ecec6e,60,PAINT,ART,30.0,version1
61,63469a12df60b1b10e0fcf57,61,PAINT,ART,0.0,version1
62,63494111df60b1b10e0fea34,62,PAINT,ART,0.0,version1
63,62a9414fcce6b2f7f51936b5,63,PAINT,ART,30.0,version1
64,63a19bdcc00a83a598dbb96c,64,PAINT,ART,0.0,version1
65,63a1921ec00a83a598dbb831,65,PAINT,ART,0.0,version1
66,63a19b88c00a83a598dbb964,66,PAINT,ART,0.0,version1
67,63a19ad1c00a83a598dbb956,67,PAINT,ART,0.0,version1
68,620c9ae408a98e2f5a002529,68,PAINT,ART,0.0,version1
69,636b80388123ad5cd16ef213,69,PAINT,ART,30.0,version1
70,636b80428123ad5cd16ef223,70,PAINT,ART,0.0,version1
71,63775f19231933abb270607c,71,PAINT,ART,0.0,version1
72,620c9aea08a98e2f5a002530,72,PAINT,ART,30.0,version1
73,636ccebaa7d40d730afb7b60,73,PAINT,ART,0.0,version1
74,63775f19231933abb270607d,74,PAINT,ART,0.0,version1
75,637dff9c8062ac7fcbcb04bf,75,PAINT,ART,30.0,version1
76,63736d61231933abb2702caa,76,PAINT,ART,30.0,version1
77,636b80448123ad5cd16ef227,77,PAINT,ART,0.0,version1
78,620a033ca7b96c07e891062f,78,PAINT,ART,30.0,version1
79,6262781bb571ac9f45e9010e,79,PAINT,ART,0.0,version1
80,6141f34441bd31b55a078637,80,PAINT,ART,0.0,version1
81,6141f34441bd31b55a078797,81,PAINT,ART,30.0,version1
82,623d765b3e769fc803e13273,82,PAINT,ART,0.0,version1
83,61b9b4c091ff2427b473dcf3,83,PAINT,ART,0.0,version1
84,61960abc750e3c7dcc13452c,84,PAINT,ART,0.0,version1
85,623d767e3e769fc803e1329b,85,PAINT,ART,0.0,version1
86,6141f34441bd31b55a077fb8,86,PAINT,ART,0.0,version1
87,62f0f722892f399c79a7316a,87,PAINT,ART,0.0,version1
88,633425b8df60b1b10e0f6710,88,PAINT,ART,0.0,version1
89,623c0b6b1635f6a54f0607ae,89,PAINT,ART,0.0,version1
90,631b280260de5ff993ecec70,90,PAINT,ART,0.0,version1
91,62e7b2b0892f399c79a6ee23,91,PAINT,ART,30.0,version1
92,6141f34441bd31b55a0788be,92,PAINT,ART,0.0,version1
93,6141f34441bd31b55a078039,93,PAINT,ART,0.0,version1
94,6141f34441bd31b55a078020,94,PAINT,ART,0.0,version1
95,623d76653e769fc803e1327e,95,PAINT,ART,0.0,version1
96,6141f34441bd31b55a0780d9,96,PAINT,ART,0.0,version1
97,61960c87750e3c7dcc13454b,97,PAINT,ART,0.0,version1
98,6141f34441bd31b55a078a93,98,PAINT,ART,30.0,version1
99,620c9ae908a98e2f5a00252f,99,PAINT,ART,30.0,version1
100,62763f50adf1572982bb9ab6,100,PAINT,ART,30.0,version1
101,62e90e3c892f399c79a6fc59,101,PAINT,ART,0.0,version1
102,620f3d9ca58eb44be7af6aff,102,PAINT,ART,30.0,version1
103,630f3d6060de5ff993eb7103,103,PAINT,ART,0.0,version1
104,6298a9c370e7eac4294eb94c,104,PAINT,ART,0.0,version1
105,620c9ae708a98e2f5a00252d,105,PAINT,ART,0.0,version1
106,631097cb60de5ff993eb8107,106,PAINT,ART,0.0,version1
107,62f4e8c9892f399c79a754a6,107,PAINT,ART,0.0,version1
108,62f38a2a892f399c79a74abd,108,PAINT,ART,0.0,version1
109,620c9aee08a98e2f5a002535,109,PAINT,ART,30.0,version1
110,6242bf6b3e769fc803e18ef7,110,PAINT,ART,30.0,version1
