sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,653621787ceb043b1a8a63bd,1,PAINT,NAT,0.0,version1
2,64cb80197d7ed0a5bc7970cb,2,PAINT,countryside,0.0,version1
3,655580ff3b2c831c6da2e993,3,PAINT,COL,0.0,version1
4,645e1ac93aa9895f1b24f326,4,PAINT,COL,0.0,version1
5,64562e273aa9895f1b248175,5,PAINT,COL,0.0,version1
6,648ae578b2aadc44a3098065,6,PAINT,ANI,0.0,version1
7,645b64f3609aa3af45266550,7,PAINT,FES,0.0,version1
8,6492ddc01ae5fb72cadbfc09,8,PAINT,COL,0.0,version1
9,653f4eaaa37cc17c0f856a99,9,PAINT,FES,0.0,version1
10,6527f73997f5d3b3dfba7232,10,PAINT,FES,0.0,version1
11,64a7da189313055ba531c2f7,11,PAINT,FES,0.0,version1
12,642ff0403fca899416885807,12,PAINT,charming_houses,0.0,version1
13,6481adf7f8a7aa79d46abf24,13,PAINT,PET,0.0,version1
14,64f9a45cb5f53940ba77d355,14,PAINT,DRA,30.0,version1
15,6479c3309fee2ae4d98f1ad7,15,PAINT,charming_houses,0.0,version1
16,652fc8441400d8b6d675dee3,16,PAINT,DRA,0.0,version1
