sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6512ad46b71cba9dc1ba6ce7,1,PAINT,COL,0.0,version1
2,64899b99b2aadc44a30975a2,2,PAINT,COL,0.0,version1
3,6424054e2709bfc144c2c458,3,PAINT,COL,0.0,version1
4,63b40187bca7595bc8b8d541,4,PAINT,COL,0.0,version1
5,64621dbd3aa9895f1b2508e3,5,PAINT,COL,0.0,version1
6,647481ab2102ac5b93e15c05,6,PAINT,COL,0.0,version1
7,647883179fee2ae4d98f0f14,7,PAINT,COL,0.0,version1
8,64807e0d9fee2ae4d98f4337,8,PAINT,COL,0.0,version1
9,653f1cfea37cc17c0f855ffd,9,PAINT,COL,0.0,version1
10,654b64e4d726762824ae9bd6,10,PAINT,COL,0.0,version1
11,64899b88b2aadc44a3097589,11,PAINT,OBJ,30.0,version1
12,646de8a8e72c4297fd3236d0,12,PAINT,COL,0.0,version1
13,64621db43aa9895f1b2508d7,13,PAINT,COL,0.0,version1
14,6308a9cfc27290e69f192779,14,PAINT,COL,0.0,version1
15,62e90dea892f399c79a6fc46,15,PAINT,COL,0.0,version1
16,6316bee3609aa3af458f71cc,16,PAINT,COL,0.0,version1
