sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34441bd31b55a078038,1,PAINT,COL,0.0,version1
2,631096e960de5ff993eb80e8,2,PAINT,FLO,0.0,version1
3,63db889d15945b39859936a8,3,PAINT,FOO,0.0,version1
4,654caebef1e2205e6d253458,4,PAINT,COL,0.0,version1
5,6510e882b71cba9dc1ba3e2d,5,PAINT,OBJ,0.0,version1
6,653642a07ceb043b1a8a71b1,6,PAINT,COL,0.0,version1
7,6492ddc31ae5fb72cadbfc0c,7,PAINT,FOO,0.0,version1
8,64e410a3b5f53940ba76c81f,8,PAINT,COL,0.0,version1
9,646f5f9a2102ac5b93e13e2b,9,PAINT,COL,30.0,version1
10,644501bb01e6c46b636d67bf,10,PAINT,OBJ,30.0,version1
11,643d2445e616ced1543bc5ce,11,PAINT,COL,0.0,version1
12,647086632102ac5b93e146b5,12,PAINT,FOO,0.0,version1
13,654b659ad726762824ae9ca0,13,PAINT,COL,0.0,version1
14,654cb138f1e2205e6d253555,14,PAINT,COL,0.0,version1
15,646f5fa62102ac5b93e13e3b,15,PAINT,COL,0.0,version1
16,654dea20e551deb287fff012,16,PAINT,COL,0.0,version1
17,646f5fa32102ac5b93e13e37,17,PAINT,FOO,0.0,version1
18,654dea20e551deb287fff010,18,PAINT,COL,0.0,version1
19,63e2294915945b398599681f,19,PAINT,OBJ,30.0,version1
20,647086552102ac5b93e146a2,20,PAINT,COL,0.0,version1
21,65212a0671c63d6aeda0fc1b,21,PAINT,COL,0.0,version1
22,655580ff3b2c831c6da2e993,22,PAINT,COL,0.0,version1
23,645e1ac93aa9895f1b24f326,23,PAINT,COL,0.0,version1
24,64562e273aa9895f1b248175,24,PAINT,COL,0.0,version1
25,646756b7f28f95ddf6dd1f24,25,PAINT,COL,0.0,version1
26,646b56bef28f95ddf6dd3717,26,PAINT,COL,0.0,version1
27,646ca626f28f95ddf6dd4f4b,27,PAINT,COL,30.0,version1
28,649acc5ed5f8ce50f9804ae3,28,PAINT,FOO,0.0,version1
29,646f5fa32102ac5b93e13e38,29,PAINT,COL,30.0,version1
30,64870148b2aadc44a3095a28,30,PAINT,COL,0.0,version1
31,6492ddc01ae5fb72cadbfc09,31,PAINT,COL,0.0,version1
32,64621da63aa9895f1b2508c4,32,PAINT,COL,30.0,version1
33,644a6f3f3aa9895f1b242ef8,33,PAINT,COL,30.0,version1
34,6492ddbd1ae5fb72cadbfc05,34,PAINT,COL,0.0,version1
35,64a6c1a8d5f8ce50f980c081,35,PAINT,COL,0.0,version1
36,64490d7701e6c46b636de826,36,PAINT,COL,0.0,version1
37,649acc5dd5f8ce50f9804ae2,37,PAINT,COL,0.0,version1
38,644a6f4b3aa9895f1b242f08,38,PAINT,COL,30.0,version1
39,646de8a1e72c4297fd3236c8,39,PAINT,COL,0.0,version1
40,6538f234c13dfaa4c2500d50,40,PAINT,COL,0.0,version1
41,6410611b2198b6f625440cc3,41,PAINT,OBJ,0.0,version1
42,652faef01400d8b6d675da7c,42,PAINT,COL,0.0,version1
43,653f4ea5a37cc17c0f856a92,43,PAINT,COL,0.0,version1
44,65361ff67ceb043b1a8a62ce,44,PAINT,COL,0.0,version1
45,6538ee8fc13dfaa4c2500c22,45,PAINT,COL,0.0,version1
46,646f5f962102ac5b93e13e26,46,PAINT,FOO,0.0,version1
47,64899b98b2aadc44a30975a1,47,PAINT,COL,30.0,version1
48,650a5059d35d600a4a569fad,48,PAINT,COL,0.0,version1
49,64f6f7efb5f53940ba779c6d,49,PAINT,OBJ,0.0,version1
50,64fee20dd35d600a4a56289f,50,PAINT,COL,0.0,version1
51,652faef41400d8b6d675da83,51,PAINT,ART,0.0,version1
52,64fedf0cd35d600a4a562840,52,PAINT,OBJ,30.0,version1
53,6483144bb2aadc44a3094ae0,53,PAINT,COL,0.0,version1
54,65361fea7ceb043b1a8a62c0,54,PAINT,FOO,0.0,version1
55,652fa93b1400d8b6d675d810,55,PAINT,COL,0.0,version1
56,6536218f7ceb043b1a8a63df,56,PAINT,COL,0.0,version1
57,650037e9d35d600a4a5640a0,57,PAINT,COL,0.0,version1
58,641d94cc2709bfc144c25d8f,58,PAINT,FOO,0.0,version1
59,64bf837215da672b6dc4c4fa,59,PAINT,COL,0.0,version1
60,6512ad46b71cba9dc1ba6ce7,60,PAINT,COL,0.0,version1
61,648ae558b2aadc44a309802f,61,PAINT,COL,0.0,version1
62,6522757cd49776ffee88c584,62,PAINT,COL,0.0,version1
63,64be472e15da672b6dc4b15d,63,PAINT,COL,0.0,version1
64,6510ed7db71cba9dc1ba3fdb,64,PAINT,FOO,0.0,version1
65,640093764ecce27a6fe02186,65,PAINT,COL,0.0,version1
66,64bf8b0715da672b6dc4c73a,66,PAINT,COL,0.0,version1
67,6521294671c63d6aeda0fbc9,67,PAINT,COL,0.0,version1
68,6512af4ab71cba9dc1ba6d74,68,PAINT,COL,0.0,version1
69,6512ad54b71cba9dc1ba6cfe,69,PAINT,COL,0.0,version1
70,650d07540d476db23ce64602,70,PAINT,COL,0.0,version1
71,64899b99b2aadc44a30975a2,71,PAINT,COL,0.0,version1
72,650d0216bce68f6c3e01f758,72,PAINT,COL,0.0,version1
73,650d0213bce68f6c3e01f755,73,PAINT,COL,0.0,version1
74,650d07570d476db23ce64606,74,PAINT,COL,0.0,version1
75,650d07560d476db23ce64605,75,PAINT,COL,0.0,version1
76,64fee20ed35d600a4a5628a0,76,PAINT,COL,0.0,version1
77,649c2119d5f8ce50f9805c8e,77,PAINT,COL,0.0,version1
78,647f05a99fee2ae4d98f338f,78,PAINT,FOO,0.0,version1
79,650a824ca44df2a398a2128e,79,PAINT,COL,0.0,version1
80,650a80bea44df2a398a18414,80,PAINT,COL,0.0,version1
81,650a706da44df2a3989cba5e,81,PAINT,COL,0.0,version1
82,6424054e2709bfc144c2c458,82,PAINT,COL,0.0,version1
83,63b40187bca7595bc8b8d541,83,PAINT,COL,0.0,version1
84,650a6ebea44df2a3989bfc37,84,PAINT,COL,0.0,version1
85,650a6ebea44df2a3989bfc3e,85,PAINT,COL,0.0,version1
86,650a6bbba44df2a3989addc3,86,PAINT,COL,0.0,version1
87,650a6bbba44df2a3989addcc,87,PAINT,COL,0.0,version1
88,65040d23a44df2a398a86e19,88,PAINT,COL,0.0,version1
89,65040d23a44df2a398a86e26,89,PAINT,COL,0.0,version1
90,64621dbd3aa9895f1b2508e3,90,PAINT,COL,0.0,version1
91,647481ab2102ac5b93e15c05,91,PAINT,COL,0.0,version1
92,65040aeea44df2a398a7c7a8,92,PAINT,COL,0.0,version1
93,65040aeea44df2a398a7c7ab,93,PAINT,COL,0.0,version1
94,65040488a44df2a398a65b1b,94,PAINT,COL,0.0,version1
95,65040488a44df2a398a65b21,95,PAINT,COL,0.0,version1
96,64b5174f9313055ba5329ee0,96,PAINT,OBJ,0.0,version1
97,64df4dc9b5f53940ba76abb2,97,PAINT,COL,0.0,version1
98,64870149b2aadc44a3095a29,98,PAINT,COL,0.0,version1
99,647883179fee2ae4d98f0f14,99,PAINT,COL,0.0,version1
100,64807e0d9fee2ae4d98f4337,100,PAINT,COL,0.0,version1
101,64e48dacb5f53940ba76d4cc,101,PAINT,COL,0.0,version1
102,64df0872e3cc3e2fb8026207,102,PAINT,COL,0.0,version1
103,64df4dcab5f53940ba76abb3,103,PAINT,COL,0.0,version1
104,64e2d474b5f53940ba76b2e5,104,PAINT,COL,0.0,version1
105,64899b9cb2aadc44a30975a5,105,PAINT,COL,0.0,version1
106,653f1cfea37cc17c0f855ffd,106,PAINT,COL,0.0,version1
107,654b64e4d726762824ae9bd6,107,PAINT,COL,0.0,version1
108,6478831e9fee2ae4d98f0f1e,108,PAINT,COL,0.0,version1
109,64884d4fb2aadc44a3096803,109,PAINT,COL,0.0,version1
110,64899b87b2aadc44a3097587,110,PAINT,COL,0.0,version1
111,64df4dc6b5f53940ba76abac,111,PAINT,COL,0.0,version1
112,6439544de616ced1543ba858,112,PAINT,COL,0.0,version1
113,641d93782709bfc144c25d44,113,PAINT,COL,30.0,version1
114,64df4dc5b5f53940ba76abab,114,PAINT,FOO,0.0,version1
115,64e410a5b5f53940ba76c823,115,PAINT,COL,0.0,version1
