sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,641442ac2709bfc144c17732,1,PAINT,countryside,30.0,version1
2,6454d29d3aa9895f1b246c08,2,PAINT,countryside,0.0,version1
3,635755baa3145f1256fc9030,3,PAINT,countryside,0.0,version1
4,63454f3bdf60b1b10e0fbabb,4,PAINT,countryside,0.0,version1
5,642bffdd2709bfc144c33b24,5,PAINT,NAT,0.0,version1
6,63568280a3145f1256fc8d07,6,PAINT,countryside,0.0,version1
7,62d7e09ef5ffecb01379d0c1,7,PAINT,countryside,0.0,version1
8,649047f1b2aadc44a3099e57,8,PAINT,countryside,0.0,version1
9,64cb80197d7ed0a5bc7970cb,9,PAINT,countryside,0.0,version1
10,645380933aa9895f1b245352,10,PAINT,countryside,0.0,version1
11,642e95bc6a19448e1f86bb65,11,PAINT,countryside,0.0,version1
12,6414429c2709bfc144c17708,12,PAINT,countryside,0.0,version1
13,6437ec42e616ced1543b878f,13,PAINT,countryside,0.0,version1
14,643d2440e616ced1543bc5c8,14,PAINT,countryside,0.0,version1
15,640f1bf82198b6f62543fac8,15,PAINT,countryside,0.0,version1
16,640f1bf72198b6f62543fac7,16,PAINT,countryside,0.0,version1
17,6426bb912709bfc144c300f0,17,PAINT,countryside,0.0,version1
18,6478831c9fee2ae4d98f0f1a,18,PAINT,countryside,0.0,version1
19,641d93932709bfc144c25d69,19,PAINT,NAT,0.0,version1
20,64c90369890be1665696c993,20,PAINT,countryside,0.0,version1
21,64cb79a27d7ed0a5bc796fb7,21,PAINT,countryside,0.0,version1
22,62de8871f5ffecb01379fc9f,22,PAINT,countryside,0.0,version1
23,64f153bcb5f53940ba775f54,23,PAINT,FOO,0.0,version1
24,64f6f459b5f53940ba779b41,24,PAINT,countryside,0.0,version1
25,652fad491400d8b6d675d9ee,25,PAINT,DRA,0.0,version1
26,6508190ed35d600a4a568ab1,26,PAINT,countryside,0.0,version1
27,652c112e97f5d3b3dfba914e,27,PAINT,countryside,0.0,version1
28,652fa93e1400d8b6d675d813,28,PAINT,NAT,0.0,version1
29,64eea979b5f53940ba77330b,29,PAINT,countryside,30.0,version1
30,64105edf2198b6f625440c7a,30,PAINT,countryside,0.0,version1
31,63931ce1473e71ee5e376732,31,PAINT,NAT,0.0,version1
32,650819fad35d600a4a568ae3,32,PAINT,countryside,0.0,version1
33,650a4b5ed35d600a4a569f19,33,PAINT,DRA,0.0,version1
34,6508190dd35d600a4a568ab0,34,PAINT,countryside,0.0,version1
35,65081a02d35d600a4a568aef,35,PAINT,countryside,0.0,version1
36,6371aafd609aa3af454dc387,36,PAINT,DRA,0.0,version1
37,650a824ca44df2a398a2128b,37,PAINT,countryside,0.0,version1
38,650a80bea44df2a398a1840a,38,PAINT,countryside,0.0,version1
39,650a71c0a44df2a3989d4f52,39,PAINT,countryside,0.0,version1
40,65040aeea44df2a398a7c7a7,40,PAINT,DRA,0.0,version1
41,65040aeea44df2a398a7c7b4,41,PAINT,countryside,0.0,version1
42,64562e203aa9895f1b248161,42,PAINT,countryside,0.0,version1
43,64e6ce0bb5f53940ba76f0a6,43,PAINT,NAT,0.0,version1
44,64f153a3b5f53940ba775f3a,44,PAINT,countryside,0.0,version1
45,64f1b385b5f53940ba776b7b,45,PAINT,countryside,0.0,version1
46,649047fdb2aadc44a3099e66,46,PAINT,countryside,0.0,version1
47,640859a24ecce27a6fe0631c,47,PAINT,countryside,0.0,version1
48,64e80d72b5f53940ba76f976,48,PAINT,countryside,0.0,version1
49,64b64e569313055ba532ae01,49,PAINT,countryside,0.0,version1
50,64e817fdb5f53940ba76fb2a,50,PAINT,DRA,0.0,version1
51,64c90355890be1665696c976,51,PAINT,countryside,0.0,version1
52,64cb801e7d7ed0a5bc7970d2,52,PAINT,DRA,0.0,version1
53,641afd882709bfc144c21cf3,53,PAINT,countryside,0.0,version1
54,64bf837015da672b6dc4c4f8,54,PAINT,countryside,0.0,version1
55,64ccb40cb29a1ed93c1be242,55,PAINT,countryside,0.0,version1
56,64d2f3afe3cc3e2fb801c161,56,PAINT,countryside,0.0,version1
