sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62ff6e23a9e3310549e5d471,1,PAINT,FLO,0.0,version1
2,631096e960de5ff993eb80e8,2,PAINT,FLO,0.0,version1
3,63849a098062ac7fcbcb2c28,3,PAINT,FLO,0.0,version1
4,64562e3a3aa9895f1b24818e,4,PAINT,FLO,0.0,version1
5,64ccbc74b29a1ed93c1be4c8,5,PAINT,FLO,0.0,version1
6,64621da53aa9895f1b2508c2,6,PAINT,FLO,30.0,version1
7,64faf1d6d35d600a4a5610c2,7,PAINT,FLO,30.0,version1
8,63775f2a231933abb2706092,8,PAINT,FLO,0.0,version1
9,62ff6e29a9e3310549e5d479,9,PAINT,FLO,0.0,version1
10,64562e393aa9895f1b24818d,10,PAINT,FLO,0.0,version1
11,645a17393aa9895f1b24a218,11,PAINT,FLO,0.0,version1
12,643556c4f912e511cc9e339c,12,PAINT,FLO,30.0,version1
13,644501c301e6c46b636d67cb,13,PAINT,FLO,0.0,version1
14,648975e4b2aadc44a3097214,14,PAINT,FLO,0.0,version1
15,6447a30301e6c46b636d9585,15,PAINT,FLO,0.0,version1
16,64996a981ae5fb72cadc23b3,16,PAINT,FLO,0.0,version1
17,64ad42ac9313055ba531f533,17,PAINT,ANI,0.0,version1
18,64e48da1b5f53940ba76d4c0,18,PAINT,FLO,0.0,version1
19,6447a30301e6c46b636d9586,19,PAINT,FLO,0.0,version1
20,64f928f6b5f53940ba77bad0,20,PAINT,FLO,0.0,version1
21,6464ac8fb5272586cd4be007,21,PAINT,FLO,0.0,version1
22,642ff0443fca89941688580d,22,PAINT,FLO,30.0,version1
23,64899b92b2aadc44a3097598,23,PAINT,FLO,0.0,version1
24,650d07520d476db23ce645ff,24,PAINT,FLO,0.0,version1
25,650a505fd35d600a4a569fb6,25,PAINT,FLO,0.0,version1
26,64df4dc8b5f53940ba76abaf,26,PAINT,FLO,0.0,version1
27,650bb78fbce68f6c3e01e687,27,PAINT,FLO,0.0,version1
28,650038a4d35d600a4a564113,28,PAINT,FLO,0.0,version1
29,633425c2df60b1b10e0f671f,29,PAINT,FLO,0.0,version1
30,650a824ca44df2a398a2129e,30,PAINT,FLO,0.0,version1
31,650a80bea44df2a398a1841f,31,PAINT,FLO,0.0,version1
32,650a71c0a44df2a3989d4f5d,32,PAINT,FLO,0.0,version1
33,650a706da44df2a3989cba6b,33,PAINT,FLO,0.0,version1
34,650a6ebea44df2a3989bfc47,34,PAINT,FLO,0.0,version1
35,650a6bbba44df2a3989addc8,35,PAINT,FLO,0.0,version1
36,650a6bbba44df2a3989addca,36,PAINT,FLO,0.0,version1
37,65040aeea44df2a398a7c7b6,37,PAINT,FLO,0.0,version1
38,65040488a44df2a398a65b24,38,PAINT,FLO,0.0,version1
39,64884d47b2aadc44a30967f9,39,PAINT,FLO,0.0,version1
40,64f6f45bb5f53940ba779b44,40,PAINT,FLO,0.0,version1
41,64c0df66890be166569681dd,41,PAINT,FLO,0.0,version1
42,6380b86e8062ac7fcbcb1f55,42,PAINT,FLO,0.0,version1
43,64562e3c3aa9895f1b248192,43,PAINT,FLO,0.0,version1
44,64e816b1b5f53940ba76fadd,44,PAINT,FLO,30.0,version1
45,637b5804231933abb2706d3b,45,PAINT,FLO,0.0,version1
46,64bf837915da672b6dc4c502,46,PAINT,FLO,0.0,version1
47,64ad42a89313055ba531f52d,47,PAINT,FLO,0.0,version1
48,64ccb409b29a1ed93c1be23e,48,PAINT,FLO,0.0,version1
49,63c126fadc8de1e7b38ad3ea,49,PAINT,FLO,0.0,version1
50,64e4109fb5f53940ba76c81b,50,PAINT,FLO,0.0,version1
51,64884d46b2aadc44a30967f6,51,PAINT,FLO,0.0,version1
52,637cb59d231933abb2707c05,52,PAINT,FLO,0.0,version1
53,646756a2f28f95ddf6dd1f0a,53,PAINT,FLO,0.0,version1
54,64df0876e3cc3e2fb802620d,54,PAINT,FLO,0.0,version1
55,6458cddb3aa9895f1b248ad9,55,PAINT,FLO,0.0,version1
56,64df0871e3cc3e2fb8026206,56,PAINT,FLO,0.0,version1
57,645a17313aa9895f1b24a204,57,PAINT,FLO,0.0,version1
58,6458df213aa9895f1b248c1e,58,PAINT,FLO,0.0,version1
59,647732579fee2ae4d98f00d1,59,PAINT,FLO,0.0,version1
60,642ff0343fca8994168857f3,60,PAINT,FLO,0.0,version1
61,6464ac8cb5272586cd4be003,61,PAINT,FLO,0.0,version1
62,64072c144ecce27a6fe04b9e,62,PAINT,FLO,0.0,version1
63,64ad42b79313055ba531f53f,63,PAINT,FLO,0.0,version1
64,64c0df7d890be16656968203,64,PAINT,FLO,0.0,version1
65,64899b92b2aadc44a3097597,65,PAINT,FLO,0.0,version1
66,647f058f9fee2ae4d98f336c,66,PAINT,FLO,0.0,version1
67,649da04ed5f8ce50f9806e6d,67,PAINT,FLO,30.0,version1
68,64996ab21ae5fb72cadc23d9,68,PAINT,FLO,30.0,version1
69,643556b7f912e511cc9e338a,69,PAINT,FLO,0.0,version1
70,6447a30501e6c46b636d9588,70,PAINT,FLO,0.0,version1
71,649e8b0cd5f8ce50f9807a05,71,PAINT,FLO,0.0,version1
72,643556b4f912e511cc9e3385,72,PAINT,FLO,30.0,version1
73,649acc73d5f8ce50f9804b02,73,PAINT,FLO,0.0,version1
74,649da060d5f8ce50f9806e86,74,PAINT,FLO,0.0,version1
75,649e8b0ad5f8ce50f9807a02,75,PAINT,FLO,0.0,version1
76,64807e179fee2ae4d98f4344,76,PAINT,FLO,30.0,version1
77,64884d57b2aadc44a309680e,77,PAINT,FLO,30.0,version1
78,64a41231d5f8ce50f9809ed1,78,PAINT,FLO,0.0,version1
79,64884d5bb2aadc44a3096814,79,PAINT,FLO,0.0,version1
80,64996ab11ae5fb72cadc23d8,80,PAINT,FLO,30.0,version1
81,64884d58b2aadc44a3096810,81,PAINT,FLO,0.0,version1
82,647732519fee2ae4d98f00ca,82,PAINT,FLO,0.0,version1
83,64884d51b2aadc44a3096805,83,PAINT,FLO,0.0,version1
84,64355683f912e511cc9e332e,84,PAINT,FLO,0.0,version1
85,64899b94b2aadc44a309759b,85,PAINT,FLO,0.0,version1
86,647f05ae9fee2ae4d98f3395,86,PAINT,FLO,0.0,version1
87,647f05b39fee2ae4d98f339c,87,PAINT,FLO,0.0,version1
88,645b77cc3aa9895f1b24be27,88,PAINT,FLO,0.0,version1
89,63ff40e84ecce27a6fe00dd9,89,PAINT,FLO,0.0,version1
90,647732589fee2ae4d98f00d2,90,PAINT,FLO,30.0,version1
91,646ca612f28f95ddf6dd4f30,91,PAINT,FLO,0.0,version1
92,646ca61cf28f95ddf6dd4f3d,92,PAINT,FLO,30.0,version1
93,636cced8a7d40d730afb7b8a,93,PAINT,FLO,0.0,version1
94,646ca610f28f95ddf6dd4f2d,94,PAINT,FLO,0.0,version1
95,643556e8f912e511cc9e33cc,95,PAINT,FLO,0.0,version1
96,6439545ae616ced1543ba868,96,PAINT,FLO,0.0,version1
97,6447a2fb01e6c46b636d957b,97,PAINT,FLO,0.0,version1
98,637b5800231933abb2706d34,98,PAINT,FLO,0.0,version1
99,6422d8222709bfc144c2a68d,99,PAINT,FLO,0.0,version1
100,6464ac98b5272586cd4be014,100,PAINT,FLO,30.0,version1
101,6464ac91b5272586cd4be00a,101,PAINT,FLO,0.0,version1
102,643d2434e616ced1543bc5b6,102,PAINT,FLO,0.0,version1
103,643556e6f912e511cc9e33c8,103,PAINT,FLO,0.0,version1
104,642ff0333fca8994168857f2,104,PAINT,FLO,0.0,version1
105,643556bff912e511cc9e3395,105,PAINT,FLO,0.0,version1
106,643691f0f912e511cc9e52fb,106,PAINT,FLO,0.0,version1
107,643556e5f912e511cc9e33c7,107,PAINT,FLO,0.0,version1
108,643556c3f912e511cc9e339b,108,PAINT,FLO,0.0,version1
109,6435569ef912e511cc9e3352,109,PAINT,FLO,0.0,version1
110,6426be442709bfc144c3017f,110,PAINT,FLO,0.0,version1
111,63c947f015945b398598f770,111,PAINT,FLO,0.0,version1
112,638499ef8062ac7fcbcb2c09,112,PAINT,FLO,30.0,version1
113,642bfec22709bfc144c33ad1,113,PAINT,FLO,0.0,version1
114,641c3e792709bfc144c23be1,114,PAINT,FLO,0.0,version1
115,641d93952709bfc144c25d6c,115,PAINT,FLO,30.0,version1
116,643d243ae616ced1543bc5bf,116,PAINT,FLO,0.0,version1
117,643691f1f912e511cc9e52fc,117,PAINT,FLO,0.0,version1
118,643556e7f912e511cc9e33c9,118,PAINT,FLO,0.0,version1
119,643556abf912e511cc9e3379,119,PAINT,FLO,0.0,version1
120,641d94c92709bfc144c25d8a,120,PAINT,FLO,0.0,version1
121,6426bb842709bfc144c300de,121,PAINT,FLO,0.0,version1
122,636cced8a7d40d730afb7b89,122,PAINT,FLO,0.0,version1
123,6439131b609aa3af4525cfa6,123,PAINT,FLO,0.0,version1
124,63c947ec15945b398598f769,124,PAINT,FLO,0.0,version1
125,640b061b2198b6f62543e766,125,PAINT,FLO,0.0,version1
126,63c7cff015945b398598eca7,126,PAINT,FLO,0.0,version1
127,64072c0b4ecce27a6fe04b92,127,PAINT,FLO,0.0,version1
128,63c7cfd915945b398598ec85,128,PAINT,FLO,0.0,version1
129,64072c244ecce27a6fe04bb6,129,PAINT,FLO,0.0,version1
130,640801d4609aa3af45ac5e31,130,PAINT,FLO,0.0,version1
131,6401cff54ecce27a6fe02baf,131,PAINT,FLO,30.0,version1
132,637b57fa231933abb2706d2b,132,PAINT,FLO,0.0,version1
133,630ca5dac27290e69f193563,133,PAINT,FLO,0.0,version1
134,63c53a43dc8de1e7b38b3a6e,134,PAINT,FLO,0.0,version1
135,63d8daf315945b3985991bc1,135,PAINT,FLO,30.0,version1
136,62fe1b6ba9e3310549e5c9a6,136,PAINT,FLO,0.0,version1
137,63ee03fc1be6ac9ae0a1bc1d,137,PAINT,FLO,0.0,version1
138,63f5ae12d68059c52c6f76c2,138,PAINT,FLO,0.0,version1
139,63e4d0261be6ac9ae0a17bce,139,PAINT,FLO,0.0,version1
140,63e37d031be6ac9ae0a16bcd,140,PAINT,FLO,0.0,version1
141,6324441260de5ff993ed24f0,141,PAINT,FLO,30.0,version1
142,63ea15041be6ac9ae0a19879,142,PAINT,FLO,0.0,version1
143,63e61e541be6ac9ae0a18ba0,143,PAINT,FLO,0.0,version1
144,63e61e671be6ac9ae0a18bba,144,PAINT,FLO,0.0,version1
145,63e6144d609aa3af45bc7ada,145,PAINT,FLO,0.0,version1
146,622724a1d04cbab22ad67357,146,PAINT,FLO,0.0,version1
147,6335759bdf60b1b10e0f78bc,147,PAINT,FLO,0.0,version1
148,63f34a63d68059c52c6f5f7a,148,PAINT,FLO,0.0,version1
149,637619e5231933abb2704f1f,149,PAINT,FLO,0.0,version1
150,636ccecca7d40d730afb7b7a,150,PAINT,FLO,0.0,version1
151,633425c8df60b1b10e0f6727,151,PAINT,FLO,0.0,version1
152,63d8daef15945b3985991bbb,152,PAINT,FLO,0.0,version1
153,63d8db6415945b3985991be3,153,PAINT,FLO,0.0,version1
154,63d8daf415945b3985991bc2,154,PAINT,FLO,0.0,version1
155,6308a9ebc27290e69f19279f,155,PAINT,FLO,0.0,version1
156,637619e2231933abb2704f1a,156,PAINT,FLO,0.0,version1
157,636245b1a3145f1256fcee48,157,PAINT,FLO,0.0,version1
158,63d8dae915945b3985991bb5,158,PAINT,FLO,0.0,version1
159,636ccedaa7d40d730afb7b8d,159,PAINT,FLO,0.0,version1
160,63c9483915945b398598f793,160,PAINT,FLO,0.0,version1
161,63c947fb15945b398598f77f,161,PAINT,FLO,0.0,version1
162,63c681802d7416019d9f3ef6,162,PAINT,FLO,0.0,version1
163,63c6817d2d7416019d9f3ef2,163,PAINT,FLO,0.0,version1
164,62d004e6f5ffecb013799168,164,PAINT,FLO,0.0,version1
165,63574c80609aa3af45c37e86,165,PAINT,FLO,0.0,version1
166,638f2290473e71ee5e373a25,166,PAINT,FLO,0.0,version1
167,63dcc089609aa3af454b6dfa,167,PAINT,FLO,0.0,version1
168,633425c4df60b1b10e0f6721,168,PAINT,FLO,30.0,version1
169,6319d62260de5ff993ece0a9,169,PAINT,FLO,30.0,version1
170,6399a6ab473e71ee5e37844d,170,PAINT,FLO,0.0,version1
171,63469a0bdf60b1b10e0fcf4e,171,PAINT,FLO,30.0,version1
172,633425c6df60b1b10e0f6725,172,PAINT,FLO,0.0,version1
