sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63db889d15945b39859936a8,1,PAINT,FOO,0.0,version1
2,63849a098062ac7fcbcb2c28,2,PAINT,FLO,0.0,version1
3,6492ddc31ae5fb72cadbfc0c,3,PAINT,FOO,0.0,version1
4,647086632102ac5b93e146b5,4,PAINT,FOO,0.0,version1
5,646f5fa32102ac5b93e13e37,5,PAINT,FOO,0.0,version1
6,64635748f2485c91428d43d5,6,PAINT,FOO,0.0,version1
7,64464e4b01e6c46b636d7d2e,7,PAINT,FOO,0.0,version1
8,649acc5ed5f8ce50f9804ae3,8,PAINT,FOO,0.0,version1
9,64807e1d9fee2ae4d98f434b,9,PAINT,FOO,0.0,version1
10,649acc72d5f8ce50f9804b00,10,PAINT,FOO,30.0,version1
11,649e8b0ed5f8ce50f9807a08,11,PAINT,FOO,0.0,version1
12,646f5f962102ac5b93e13e26,12,PAINT,FOO,0.0,version1
13,64f153bcb5f53940ba775f54,13,PAINT,FOO,0.0,version1
14,65361fea7ceb043b1a8a62c0,14,PAINT,FOO,0.0,version1
15,63c7cfde15945b398598ec8b,15,PAINT,FOO,0.0,version1
16,641d94cc2709bfc144c25d8f,16,PAINT,FOO,0.0,version1
17,6510ed7db71cba9dc1ba3fdb,17,PAINT,FOO,0.0,version1
18,64afe42f9313055ba5323360,18,PAINT,FOO,0.0,version1
19,64f1ad48b5f53940ba776a84,19,PAINT,FOO,0.0,version1
20,64c90364890be1665696c98b,20,PAINT,FOO,0.0,version1
21,633425c2df60b1b10e0f671f,21,PAINT,FLO,0.0,version1
22,647f05a99fee2ae4d98f338f,22,PAINT,FOO,0.0,version1
23,650a80bea44df2a398a18417,23,PAINT,FOO,0.0,version1
24,650a71c0a44df2a3989d4f48,24,PAINT,FOO,0.0,version1
25,650a6bbba44df2a3989addbd,25,PAINT,FOO,0.0,version1
26,65040d23a44df2a398a86e20,26,PAINT,FOO,0.0,version1
27,6503f497a44df2a398a2ba51,27,PAINT,FOO,0.0,version1
28,64eff61db5f53940ba77496c,28,PAINT,FOO,30.0,version1
29,64218c352709bfc144c284d8,29,PAINT,FOO,0.0,version1
30,64eea967b5f53940ba7732f1,30,PAINT,FOO,0.0,version1
31,64a6c1aad5f8ce50f980c084,31,PAINT,FOO,0.0,version1
32,64c0df76890be166569681f7,32,PAINT,FOO,0.0,version1
33,64df4dc5b5f53940ba76abab,33,PAINT,FOO,0.0,version1
34,64c78c5c890be1665696b13e,34,PAINT,FOO,0.0,version1
35,64621dc33aa9895f1b2508eb,35,PAINT,FOO,0.0,version1
36,649da065d5f8ce50f9806e8d,36,PAINT,FOO,0.0,version1
37,64c8b960890be1665696c6ae,37,PAINT,FOO,0.0,version1
38,64c90366890be1665696c98d,38,PAINT,FOO,30.0,version1
39,63c1270adc8de1e7b38ad406,39,PAINT,FOO,0.0,version1
40,640f1ece2198b6f62543fb01,40,PAINT,FOO,30.0,version1
41,64afe4bd9313055ba5323378,41,PAINT,FOO,0.0,version1
42,642186e62709bfc144c283f5,42,PAINT,FOO,30.0,version1
43,64899b91b2aadc44a3097596,43,PAINT,FOO,0.0,version1
44,649e8b11d5f8ce50f9807a0c,44,PAINT,FOO,0.0,version1
45,64be444215da672b6dc4b0b8,45,PAINT,FOO,0.0,version1
46,646b56bcf28f95ddf6dd3714,46,PAINT,FOO,0.0,version1
47,64c90365890be1665696c98c,47,PAINT,FOO,0.0,version1
48,64c0df74890be166569681f4,48,PAINT,FOO,0.0,version1
49,649c2130d5f8ce50f9805cae,49,PAINT,FOO,0.0,version1
50,64c0df75890be166569681f6,50,PAINT,FOO,0.0,version1
51,647f05909fee2ae4d98f336f,51,PAINT,FOO,0.0,version1
52,647481b52102ac5b93e15c13,52,PAINT,FOO,0.0,version1
53,63ea14f81be6ac9ae0a19868,53,PAINT,FOO,30.0,version1
54,64c0df72890be166569681ee,54,PAINT,FOO,0.0,version1
55,64afe4309313055ba5323361,55,PAINT,FOO,0.0,version1
56,64afe4bb9313055ba5323376,56,PAINT,FOO,0.0,version1
57,63a19333c00a83a598dbb8ac,57,PAINT,FOO,0.0,version1
58,632afab760de5ff993ed4e96,58,PAINT,FOO,0.0,version1
59,63c7cfea15945b398598ec9f,59,PAINT,FOO,0.0,version1
60,649da050d5f8ce50f9806e6f,60,PAINT,FOO,0.0,version1
61,64562e413aa9895f1b248198,61,PAINT,FOO,0.0,version1
62,641c3e722709bfc144c23bd6,62,PAINT,FOO,0.0,version1
63,64a2ce3ed5f8ce50f9808db6,63,PAINT,FOO,0.0,version1
64,647db58b9fee2ae4d98f29d9,64,PAINT,FOO,0.0,version1
65,63c7cfe115945b398598ec91,65,PAINT,FOO,0.0,version1
66,64ae54c59313055ba5320daf,66,PAINT,FOO,0.0,version1
67,632afab660de5ff993ed4e95,67,PAINT,FOO,0.0,version1
68,64a41234d5f8ce50f9809ed6,68,PAINT,FOO,0.0,version1
69,64981dae1ae5fb72cadc10e1,69,PAINT,FOO,0.0,version1
70,64ad21b29313055ba531f349,70,PAINT,FOO,0.0,version1
71,64996aaa1ae5fb72cadc23ce,71,PAINT,FOO,0.0,version1
72,647f05919fee2ae4d98f3370,72,PAINT,FOO,30.0,version1
73,647f05b19fee2ae4d98f339a,73,PAINT,FOO,30.0,version1
74,6483145db2aadc44a3094af8,74,PAINT,FOO,30.0,version1
75,642186ce2709bfc144c283d2,75,PAINT,FOO,0.0,version1
76,647f05a79fee2ae4d98f338d,76,PAINT,FOO,0.0,version1
77,647db59e9fee2ae4d98f29f2,77,PAINT,FOO,0.0,version1
78,64621da33aa9895f1b2508c0,78,PAINT,FOO,0.0,version1
79,647f05af9fee2ae4d98f3397,79,PAINT,FOO,0.0,version1
80,64807e239fee2ae4d98f4353,80,PAINT,FOO,0.0,version1
81,64072c0e4ecce27a6fe04b96,81,PAINT,FOO,0.0,version1
82,647481bd2102ac5b93e15c1e,82,PAINT,FOO,0.0,version1
83,646de899e72c4297fd3236bc,83,PAINT,FOO,0.0,version1
84,63fdf25b4ecce27a6fdffd6d,84,PAINT,FOO,0.0,version1
85,647481b92102ac5b93e15c18,85,PAINT,FOO,0.0,version1
86,646ca622f28f95ddf6dd4f45,86,PAINT,FOO,30.0,version1
87,647481ad2102ac5b93e15c08,87,PAINT,FOO,0.0,version1
88,647732849fee2ae4d98f010f,88,PAINT,FOO,0.0,version1
89,645b77da3aa9895f1b24be3b,89,PAINT,FOO,30.0,version1
90,647732839fee2ae4d98f010e,90,PAINT,FOO,0.0,version1
91,64621db53aa9895f1b2508d8,91,PAINT,FOO,0.0,version1
92,64635747f2485c91428d43d4,92,PAINT,FOO,0.0,version1
93,645e1ab93aa9895f1b24f30d,93,PAINT,FOO,30.0,version1
94,645cbc5f3aa9895f1b24d65e,94,PAINT,FOO,0.0,version1
95,646de893e72c4297fd3236b3,95,PAINT,FOO,0.0,version1
96,642186b62709bfc144c283b0,96,PAINT,FOO,0.0,version1
97,646b56b4f28f95ddf6dd3708,97,PAINT,FOO,0.0,version1
98,63ff40e04ecce27a6fe00dce,98,PAINT,FOO,0.0,version1
99,640b062b2198b6f62543e77d,99,PAINT,FOO,0.0,version1
100,63c126f9dc8de1e7b38ad3e1,100,PAINT,FOO,0.0,version1
101,643e726de616ced1543be7ce,101,PAINT,FOO,30.0,version1
102,642bffde2709bfc144c33b25,102,PAINT,FOO,0.0,version1
103,64105eed2198b6f625440c8d,103,PAINT,FOO,0.0,version1
104,63f5ae0cd68059c52c6f76bb,104,PAINT,FOO,30.0,version1
105,642565772709bfc144c2e5f6,105,PAINT,FOO,0.0,version1
106,641c3e912709bfc144c23c04,106,PAINT,FOO,0.0,version1
107,6466112ff28f95ddf6dd05f3,107,PAINT,FOO,0.0,version1
108,63fdf32a4ecce27a6fdffdb2,108,PAINT,FOO,0.0,version1
109,641061172198b6f625440cbe,109,PAINT,FOO,0.0,version1
110,63bbebfbbca7595bc8b9ad8e,110,PAINT,FOO,0.0,version1
111,642565762709bfc144c2e5f5,111,PAINT,FOO,0.0,version1
112,641d49e32709bfc144c253f6,112,PAINT,FOO,0.0,version1
113,642565782709bfc144c2e5f7,113,PAINT,FOO,0.0,version1
114,641c3e702709bfc144c23bd4,114,PAINT,FOO,0.0,version1
115,64218c3c2709bfc144c284e2,115,PAINT,FOO,0.0,version1
116,63c7cfe915945b398598ec9d,116,PAINT,FOO,0.0,version1
117,63c7cfe615945b398598ec98,117,PAINT,FOO,0.0,version1
118,6439131b609aa3af4525cfa9,118,PAINT,FOO,0.0,version1
119,63ff40ef4ecce27a6fe00de2,119,PAINT,FOO,0.0,version1
120,6405d5cf4ecce27a6fe038c1,120,PAINT,FOO,0.0,version1
121,64105eda2198b6f625440c72,121,PAINT,FOO,0.0,version1
122,6407305a4ecce27a6fe04c1c,122,PAINT,FOO,0.0,version1
123,6405d5dd4ecce27a6fe038d5,123,PAINT,FOO,0.0,version1
124,63f34b22d68059c52c6f5fb4,124,PAINT,FOO,0.0,version1
125,63ff41544ecce27a6fe00df4,125,PAINT,FOO,30.0,version1
126,63ff41504ecce27a6fe00def,126,PAINT,FOO,30.0,version1
127,63fdf25a4ecce27a6fdffd6c,127,PAINT,FOO,0.0,version1
128,63f34a4ed68059c52c6f5f58,128,PAINT,FOO,0.0,version1
129,62fe1b6ba9e3310549e5c9a6,129,PAINT,FLO,0.0,version1
130,63ea14f71be6ac9ae0a19867,130,PAINT,FOO,30.0,version1
131,6343f7afdf60b1b10e0faad8,131,PAINT,FOO,0.0,version1
132,649c2137d5f8ce50f9805cb7,132,PAINT,FOO,0.0,version1
133,64981dab1ae5fb72cadc10dd,133,PAINT,FOO,0.0,version1
134,647883109fee2ae4d98f0f0b,134,PAINT,FOO,0.0,version1
135,63ef5aa493408aa8ac30c841,135,PAINT,FOO,0.0,version1
136,63a0406ec00a83a598dba63b,136,PAINT,FOO,0.0,version1
137,634f8cd4a3145f1256fc5b18,137,PAINT,FOO,0.0,version1
138,634f8cd0a3145f1256fc5b13,138,PAINT,FOO,0.0,version1
139,63c7cfe415945b398598ec95,139,PAINT,FOO,0.0,version1
140,63c12708dc8de1e7b38ad404,140,PAINT,FOO,0.0,version1
141,63d79f7815945b398599159a,141,PAINT,FOO,0.0,version1
142,63da497515945b3985992954,142,PAINT,FOO,0.0,version1
143,63d79f7c15945b39859915a0,143,PAINT,FOO,0.0,version1
144,6380b8598062ac7fcbcb1f3a,144,PAINT,FOO,0.0,version1
145,6335759cdf60b1b10e0f78bd,145,PAINT,FOO,0.0,version1
146,63dcc089609aa3af454b6df2,146,PAINT,FOO,0.0,version1
147,63db889715945b39859936a1,147,PAINT,FOO,0.0,version1
148,63e1b3a2609aa3af459af064,148,PAINT,FOO,0.0,version1
149,634699fedf60b1b10e0fcf38,149,PAINT,FOO,0.0,version1
150,6342a637df60b1b10e0f9cab,150,PAINT,FOO,0.0,version1
151,63c7d02b15945b398598ecb8,151,PAINT,FOO,0.0,version1
152,62763b32adf1572982bb99b0,152,PAINT,FOO,0.0,version1
153,63c7cfeb15945b398598eca1,153,PAINT,FOO,0.0,version1
154,64f1b287b5f53940ba776b49,154,PAINT,FOO,0.0,version1
155,63dcc089609aa3af454b6df0,155,PAINT,FOO,0.0,version1
156,63db294615945b39859930d0,156,PAINT,FOO,0.0,version1
157,630b1290609aa3af455a1e06,157,PAINT,FOO,30.0,version1
158,636a2a63a3145f1256fdd818,158,PAINT,FOO,0.0,version1
159,6319d62260de5ff993ece0a9,159,PAINT,FLO,30.0,version1
160,621743daa58eb44be7afaceb,160,PAINT,FOO,30.0,version1
161,63bcd18f609aa3af45c6d563,161,PAINT,FOO,0.0,version1
162,633425c6df60b1b10e0f6725,162,PAINT,FLO,0.0,version1
163,6380b8598062ac7fcbcb1f39,163,PAINT,FOO,0.0,version1
164,6356827ba3145f1256fc8cff,164,PAINT,FOO,0.0,version1
165,6396fffe473e71ee5e3770be,165,PAINT,FOO,0.0,version1
166,62a6f911cce6b2f7f51923d8,166,PAINT,FOO,0.0,version1
167,63357599df60b1b10e0f78b8,167,PAINT,FOO,30.0,version1
168,637cb598231933abb2707c00,168,PAINT,FOO,0.0,version1
169,62a9415ccce6b2f7f51936bf,169,PAINT,FOO,0.0,version1
170,6351397fa3145f1256fc71c6,170,PAINT,FOO,30.0,version1
171,637b50b5609aa3af457fdd8b,171,PAINT,FOO,0.0,version1
172,636a2a64a3145f1256fdd81a,172,PAINT,FOO,0.0,version1
173,634150c5df60b1b10e0f9395,173,PAINT,FOO,0.0,version1
174,63734fe6609aa3af45566c76,174,PAINT,FOO,0.0,version1
175,6232f5963d8d16fe91a175e8,175,PAINT,FOO,0.0,version1
176,6380b85f8062ac7fcbcb1f40,176,PAINT,FOO,0.0,version1
177,62482dec24cb8e8b164e0819,177,PAINT,FOO,0.0,version1
178,630b1290609aa3af455a1df9,178,PAINT,FOO,30.0,version1
179,6232f57e3d8d16fe91a17557,179,PAINT,FOO,0.0,version1
180,636a2a71a3145f1256fdd82a,180,PAINT,FOO,0.0,version1
181,61f3ae220cbd8ab1f88ada81,181,PAINT,FOO,0.0,version1
182,634f8cd5a3145f1256fc5b1a,182,PAINT,FOO,0.0,version1
183,61b9b37f91ff2427b473dcb2,183,PAINT,FOO,0.0,version1
184,61c5ad0c7412358bc7cb36da,184,PAINT,FOO,30.0,version1
185,6141f34541bd31b55a079075,185,PAINT,FOO,0.0,version1
186,619375846ac28a0ab9b2eb8e,186,PAINT,FOO,0.0,version1
187,6232f6093d8d16fe91a17680,187,PAINT,FOO,0.0,version1
188,6232f58f3d8d16fe91a175bb,188,PAINT,FOO,30.0,version1
189,61bc5d11c5eb11567ead4183,189,PAINT,FOO,0.0,version1
190,61a9e5000b9699924a1a36b2,190,PAINT,FOO,0.0,version1
191,62f38a16892f399c79a74aa4,191,PAINT,FOO,0.0,version1
192,62690e5bd2a541bce167da5d,192,PAINT,FOO,0.0,version1
193,62fb78bea9e3310549e58a7e,193,PAINT,FOO,0.0,version1
194,62ff6e18a9e3310549e5d462,194,PAINT,FOO,0.0,version1
195,632d9e0160de5ff993ed646e,195,PAINT,FOO,0.0,version1
196,6328597560de5ff993ed3785,196,PAINT,FOO,0.0,version1
197,63035fa2a9e3310549e5e086,197,PAINT,FOO,30.0,version1
198,631096ed60de5ff993eb80ee,198,PAINT,FOO,0.0,version1
199,632315ef60de5ff993ed1512,199,PAINT,FOO,0.0,version1
200,632859e560de5ff993ed37e4,200,PAINT,FOO,0.0,version1
1,62f24837892f399c79a74026,1,PAINT,FOO,0.0,version1
2,632447ad60de5ff993ed2624,2,PAINT,FOO,0.0,version1
3,630b1290609aa3af455a1e01,3,PAINT,FOO,0.0,version1
4,6308a9dcc27290e69f19278a,4,PAINT,FOO,0.0,version1
5,6308a9e3c27290e69f192794,5,PAINT,FOO,0.0,version1
6,6308a9e4c27290e69f192795,6,PAINT,FOO,0.0,version1
7,62d93cf4f5ffecb01379e0bb,7,PAINT,FOO,0.0,version1
8,62ff6e1ea9e3310549e5d46b,8,PAINT,FOO,0.0,version1
9,62d00504f5ffecb013799194,9,PAINT,FOO,30.0,version1
10,62ff6e14a9e3310549e5d45d,10,PAINT,FOO,0.0,version1
