sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64b517729313055ba5329efa,1,PAINT,ART,30.0,version1
2,64bf837315da672b6dc4c4fc,2,PAINT,ART,30.0,version1
3,642565792709bfc144c2e5fa,3,PAINT,LAN,30.0,version1
4,63e61e5e1be6ac9ae0a18bad,4,PAINT,NAT,30.0,version1
5,63f755c2ee3e7c890f9aa2b9,5,PAINT,NAT,30.0,version1
6,63db88a015945b39859936ad,6,PAINT,COL,0.0,version1
7,63d61b6615945b39859900ba,7,PAINT,DRA,0.0,version1
8,63db889715945b39859936a1,8,PAINT,FOO,0.0,version1
9,63c947ff15945b398598f785,9,PAINT,COL,0.0,version1
10,62ebb0d6892f399c79a71486,10,PAINT,PET,0.0,version1
11,63c947e315945b398598f75e,11,PAINT,DRA,0.0,version1
12,63d8daf515945b3985991bc4,12,PAINT,DRA,0.0,version1
13,63da497715945b3985992957,13,PAINT,HAR,0.0,version1
14,6347f3dcdf60b1b10e0fdbbf,14,PAINT,NAT,0.0,version1
15,633425cedf60b1b10e0f672f,15,PAINT,NAT,0.0,version1
16,63a19b6fc00a83a598dbb960,16,PAINT,COL,0.0,version1
17,637619d2231933abb2704f05,17,PAINT,DRA,0.0,version1
18,63a19b88c00a83a598dbb964,18,PAINT,ART,0.0,version1
19,634d42fba3145f1256fc4856,19,PAINT,HAR,0.0,version1
20,63b6a6edbca7595bc8b8fc04,20,PAINT,FLO,0.0,version1
21,62a1a505cce6b2f7f5190d8a,21,PAINT,HAR,30.0,version1
22,636b80388123ad5cd16ef213,22,PAINT,ART,30.0,version1
23,63568291a3145f1256fc8d1d,23,PAINT,PET,0.0,version1
24,62a1a503cce6b2f7f5190d88,24,PAINT,HAR,30.0,version1
25,62ff6e1aa9e3310549e5d464,25,PAINT,FLO,0.0,version1
26,6396fffe473e71ee5e3770be,26,PAINT,FOO,0.0,version1
27,637619e1231933abb2704f19,27,PAINT,COL,30.0,version1
28,628cb8387195fe52e6c8f07a,28,PAINT,HAR,0.0,version1
29,6373518e609aa3af45567425,29,PAINT,HAR,0.0,version1
30,634fec2ba3145f1256fc6543,30,PAINT,HAR,0.0,version1
31,61caedad7412358bc7cb479d,31,PAINT,HAR,0.0,version1
32,62a6f8f2cce6b2f7f51923b9,32,PAINT,HAR,0.0,version1
33,634150c2df60b1b10e0f9391,33,PAINT,HAR,0.0,version1
34,625d2cdcb571ac9f45e87fe6,34,PAINT,PET,0.0,version1
35,6141f34441bd31b55a077fc8,35,PAINT,HAR,0.0,version1
36,6360f482a3145f1256fcdd67,36,PAINT,HAR,0.0,version1
37,620224a971fd120a32af1d05,37,PAINT,ANI,30.0,version1
38,631b280260de5ff993ecec70,38,PAINT,ART,0.0,version1
39,623af3b61635f6a54f05fe68,39,PAINT,FLO,0.0,version1
40,634d42f8a3145f1256fc4852,40,PAINT,ANI,30.0,version1
41,61ea56090660c83c479715e8,41,PAINT,HAR,0.0,version1
42,623af3a51635f6a54f05fe3e,42,PAINT,FLO,0.0,version1
43,6234381c3d8d16fe91a186c4,43,PAINT,ANI,30.0,version1
44,6141f34441bd31b55a0780d9,44,PAINT,ART,0.0,version1
45,620c9ae908a98e2f5a00252f,45,PAINT,ART,30.0,version1
46,62e112c2d4aac22d67eb7c9e,46,PAINT,FLO,0.0,version1
47,62e90dce892f399c79a6fc20,47,PAINT,NAT,0.0,version1
48,62e90dd0892f399c79a6fc21,48,PAINT,NAT,0.0,version1
49,6329945560de5ff993ed4177,49,PAINT,NAT,0.0,version1
50,631884ea60de5ff993ecd626,50,PAINT,HOM,0.0,version1
51,620f3d9ca58eb44be7af6aff,51,PAINT,ART,30.0,version1
52,62ff6e0da9e3310549e5d453,52,PAINT,COL,0.0,version1
53,6329945a60de5ff993ed417d,53,PAINT,OBJ,0.0,version1
54,6307640fa9e3310549e5f859,54,PAINT,COL,0.0,version1
55,631884d760de5ff993ecd60c,55,PAINT,ANI,0.0,version1
56,62f38a2b892f399c79a74abf,56,PAINT,OBJ,0.0,version1
57,628dd04b7195fe52e6c8f470,57,PAINT,FLO,0.0,version1
58,62f4e8c9892f399c79a754a6,58,PAINT,ART,0.0,version1
59,62d00504f5ffecb013799194,59,PAINT,FOO,30.0,version1
60,62f38a2a892f399c79a74abd,60,PAINT,ART,0.0,version1
61,62d00505f5ffecb013799195,61,PAINT,FOO,0.0,version1
62,631884d360de5ff993ecd605,62,PAINT,ANI,30.0,version1
63,6242bf6b3e769fc803e18ef7,63,PAINT,ART,30.0,version1
64,630f3d6060de5ff993eb7104,64,PAINT,ART,0.0,version1
65,631728cc60de5ff993eccaf7,65,PAINT,OBJ,30.0,version1
66,6320629060de5ff993ecf8a5,66,PAINT,NAT,0.0,version1
67,6315e44e60de5ff993ecbf60,67,PAINT,NAT,0.0,version1
68,6311ec4060de5ff993eb8d73,68,PAINT,ANI,0.0,version1
69,63161a35609aa3af458cc3f7,69,PAINT,FLO,0.0,version1
70,62e90dd6892f399c79a6fc2a,70,PAINT,FLO,0.0,version1
71,630ca579c27290e69f193553,71,PAINT,DRA,0.0,version1
72,6242bf6b3e769fc803e18ef9,72,PAINT,ART,0.0,version1
73,6242bf613e769fc803e18ee7,73,PAINT,HAR,0.0,version1
74,62a94154cce6b2f7f51936b9,74,PAINT,ART,0.0,version1
75,6231a65a3d8d16fe91a13ae0,75,PAINT,ART,0.0,version1
76,62a2e762cce6b2f7f5191864,76,PAINT,HAR,0.0,version1
77,62a2e796cce6b2f7f51918c6,77,PAINT,FLO,0.0,version1
78,6278d134adf1572982bba58a,78,PAINT,LAN,0.0,version1
79,627e1651e60a99787306baab,79,PAINT,ANI,30.0,version1
80,61de9d04ca997951248c0a92,80,PAINT,OBJ,0.0,version1
81,6231a65e3d8d16fe91a13af9,81,PAINT,FOO,0.0,version1
82,626a5f68d2a541bce167e784,82,PAINT,FLO,0.0,version1
83,626119f5b571ac9f45e8ebd7,83,PAINT,NAT,0.0,version1
84,6218d5a8dd2394bfd6a7fe00,84,PAINT,PET,0.0,version1
85,626a5f80d2a541bce167e7a0,85,PAINT,NAT,0.0,version1
86,620c9aeb08a98e2f5a002531,86,PAINT,ART,0.0,version1
