sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64d2f3bbe3cc3e2fb801c171,1,PAINT,HOM,0.0,version1
2,65484dd0d726762824aced61,2,PAINT,HOM,0.0,version1
3,64c0df6a890be166569681e3,3,PAINT,HOM,0.0,version1
4,65124f27b71cba9dc1ba6066,4,PAINT,HOM,0.0,version1
5,653f8205a37cc17c0f857c97,5,PAINT,HOM,0.0,version1
6,62611a20b571ac9f45e8ec21,6,PAINT,HOM,0.0,version1
7,63a2e66ac00a83a598dbc52e,7,PAINT,HOM,30.0,version1
8,63a43cafbcdd690c417570cc,8,PAINT,HOM,0.0,version1
9,64e816afb5f53940ba76fada,9,PAINT,HOM,0.0,version1
10,64cb80857d7ed0a5bc7970fb,10,PAINT,HOM,0.0,version1
11,6527f73e97f5d3b3dfba7237,11,PAINT,HOM,0.0,version1
12,652e1f612c6230b0ee483739,12,PAINT,HOM,30.0,version1
13,64e81fa0b5f53940ba76fcc8,13,PAINT,HOM,0.0,version1
14,64f6f7e5b5f53940ba779c5e,14,PAINT,HOM,0.0,version1
15,64d2f3b2e3cc3e2fb801c165,15,PAINT,HOM,0.0,version1
16,650bb4bcbce68f6c3e01e584,16,PAINT,HOM,0.0,version1
17,65081a1ad35d600a4a568af7,17,PAINT,HOM,0.0,version1
18,64e81f9fb5f53940ba76fcc7,18,PAINT,HOM,30.0,version1
19,650bb4c6bce68f6c3e01e592,19,PAINT,HOM,0.0,version1
20,64df4dc8b5f53940ba76abaf,20,PAINT,FLO,0.0,version1
21,650d07570d476db23ce64607,21,PAINT,HOM,0.0,version1
22,6336ca6cdf60b1b10e0f8605,22,PAINT,HOM,0.0,version1
23,650a706da44df2a3989cba60,23,PAINT,HOM,0.0,version1
24,65040aeea44df2a398a7c7ad,24,PAINT,HOM,0.0,version1
25,6503f497a44df2a398a2ba53,25,PAINT,HOM,0.0,version1
26,64df4dc6b5f53940ba76abad,26,PAINT,HOM,0.0,version1
27,64e81f9eb5f53940ba76fcc5,27,PAINT,HOM,30.0,version1
28,64e80e5eb5f53940ba76f99f,28,PAINT,HOM,0.0,version1
29,64d36cd8e3cc3e2fb801d385,29,PAINT,HOM,0.0,version1
30,64db577be3cc3e2fb8022905,30,PAINT,HOM,0.0,version1
31,64e81fa4b5f53940ba76fccf,31,PAINT,HOM,0.0,version1
32,64df3cc4b5f53940ba76a9b3,32,PAINT,HOM,0.0,version1
33,64c0df67890be166569681de,33,PAINT,HOM,0.0,version1
34,64db5779e3cc3e2fb8022903,34,PAINT,HOM,0.0,version1
35,64d36ce0e3cc3e2fb801d390,35,PAINT,HOM,0.0,version1
36,64d4b634e3cc3e2fb801ecf3,36,PAINT,HOM,0.0,version1
37,64c39b19890be1665696a4f5,37,PAINT,HOM,0.0,version1
38,642e95526a19448e1f86baeb,38,PAINT,HOM,0.0,version1
39,63736d82231933abb2702cd1,39,PAINT,HOM,0.0,version1
40,64d2f3bbe3cc3e2fb801c170,40,PAINT,HOM,0.0,version1
41,6308a9ccc27290e69f192775,41,PAINT,HOM,0.0,version1
42,64884d36b2aadc44a30967e2,42,PAINT,HOM,30.0,version1
43,63b54f71bca7595bc8b8e566,43,PAINT,HOM,30.0,version1
44,647f059f9fee2ae4d98f3382,44,PAINT,HOM,0.0,version1
45,64b1626c9313055ba5324e22,45,PAINT,HOM,30.0,version1
46,63a2e65fc00a83a598dbc521,46,PAINT,HOM,0.0,version1
47,63f8bd04097b43395ea24948,47,PAINT,HOM,0.0,version1
48,6479c3159fee2ae4d98f1aad,48,PAINT,HOM,0.0,version1
49,63e37d081be6ac9ae0a16bd5,49,PAINT,HOM,0.0,version1
50,6437ec3ae616ced1543b8785,50,PAINT,HOM,30.0,version1
51,632447ab60de5ff993ed2621,51,PAINT,HOM,0.0,version1
52,622b133bd04cbab22ad69b14,52,PAINT,HOM,0.0,version1
53,6478830c9fee2ae4d98f0f05,53,PAINT,HOM,0.0,version1
54,645380983aa9895f1b24535b,54,PAINT,HOM,30.0,version1
55,649047f6b2aadc44a3099e5d,55,PAINT,HOM,0.0,version1
56,647883159fee2ae4d98f0f12,56,PAINT,HOM,0.0,version1
57,6400964c4ecce27a6fe021e9,57,PAINT,HOM,0.0,version1
58,6479c32a9fee2ae4d98f1acf,58,PAINT,HOM,30.0,version1
59,648ae57bb2aadc44a309806b,59,PAINT,HOM,0.0,version1
60,647f05979fee2ae4d98f3377,60,PAINT,HOM,0.0,version1
61,6479c32b9fee2ae4d98f1ad0,61,PAINT,HOM,30.0,version1
62,647db5999fee2ae4d98f29eb,62,PAINT,HOM,0.0,version1
63,63b7f364bca7595bc8b9138c,63,PAINT,HOM,30.0,version1
64,6441225ce616ced1543c19e5,64,PAINT,HOM,0.0,version1
65,645cbc523aa9895f1b24d649,65,PAINT,HOM,0.0,version1
66,645cbc573aa9895f1b24d652,66,PAINT,HOM,30.0,version1
67,645b77d43aa9895f1b24be32,67,PAINT,HOM,0.0,version1
68,64621dae3aa9895f1b2508cf,68,PAINT,HOM,0.0,version1
69,6424065f2709bfc144c2c4ef,69,PAINT,HOM,30.0,version1
70,63a43cb3bcdd690c417570d2,70,PAINT,HOM,0.0,version1
71,63639ae6a3145f1256fd0301,71,PAINT,HOM,0.0,version1
72,6422d8fd2709bfc144c2a6bf,72,PAINT,HOM,0.0,version1
