sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6439545be616ced1543ba86a,1,PAINT,islands,30.0,version1
2,6422d81d2709bfc144c2a686,2,PAINT,islands,0.0,version1
3,63eb60941be6ac9ae0a1a382,3,PAINT,NAT,0.0,version1
4,63849a118062ac7fcbcb2c33,4,PAINT,NAT,0.0,version1
5,6221e73ea92e1086b4e253b7,5,PAINT,islands,30.0,version1
6,64df0870e3cc3e2fb8026204,6,PAINT,islands,0.0,version1
7,65040488a44df2a398a65b2d,7,PAINT,islands,0.0,version1
8,64df086de3cc3e2fb8026201,8,PAINT,islands,0.0,version1
9,64807e0f9fee2ae4d98f4339,9,PAINT,islands,0.0,version1
10,64f153bfb5f53940ba775f57,10,PAINT,NAT,0.0,version1
11,64e4109bb5f53940ba76c816,11,PAINT,islands,0.0,version1
12,64df4dccb5f53940ba76abb6,12,PAINT,islands,0.0,version1
13,64df3cc5b5f53940ba76a9b5,13,PAINT,islands,0.0,version1
14,64b517549313055ba5329ee6,14,PAINT,islands,0.0,version1
15,63f8bcfa097b43395ea2493b,15,PAINT,NAT,0.0,version1
16,62763afaadf1572982bb9981,16,PAINT,islands,0.0,version1
17,641d93732709bfc144c25d3d,17,PAINT,islands,0.0,version1
18,63bd3deebca7595bc8b9c383,18,PAINT,islands,30.0,version1
19,644912a101e6c46b636de950,19,PAINT,islands,0.0,version1
20,64bf860415da672b6dc4c58e,20,PAINT,islands,0.0,version1
21,62d13f65f5ffecb013799e64,21,PAINT,NAT,0.0,version1
22,6441224de616ced1543c19cf,22,PAINT,islands,0.0,version1
23,646614acf28f95ddf6dd06a9,23,PAINT,islands,0.0,version1
24,64b517759313055ba5329f00,24,PAINT,islands,0.0,version1
25,64b163ac9313055ba5324e35,25,PAINT,islands,0.0,version1
26,64996aad1ae5fb72cadc23d1,26,PAINT,islands,0.0,version1
27,64b517739313055ba5329efc,27,PAINT,islands,0.0,version1
28,643691f3f912e511cc9e5300,28,PAINT,islands,0.0,version1
29,64ad19249313055ba531f1b7,29,PAINT,islands,0.0,version1
30,64884d38b2aadc44a30967e4,30,PAINT,islands,0.0,version1
31,643d243ee616ced1543bc5c4,31,PAINT,islands,0.0,version1
32,648c4188b2aadc44a3098f7b,32,PAINT,islands,0.0,version1
33,645e1ab23aa9895f1b24f303,33,PAINT,islands,0.0,version1
34,646b56c8f28f95ddf6dd3739,34,PAINT,islands,30.0,version1
35,647f059b9fee2ae4d98f337e,35,PAINT,islands,0.0,version1
36,647481d12102ac5b93e15c3a,36,PAINT,islands,0.0,version1
37,64490d6601e6c46b636de80b,37,PAINT,islands,30.0,version1
38,6439543de616ced1543ba842,38,PAINT,islands,0.0,version1
39,647f058d9fee2ae4d98f3369,39,PAINT,islands,0.0,version1
40,647481d22102ac5b93e15c3b,40,PAINT,islands,0.0,version1
41,6435567bf912e511cc9e3324,41,PAINT,islands,0.0,version1
42,64996aa91ae5fb72cadc23cc,42,PAINT,islands,0.0,version1
43,6475e7622102ac5b93e1a5c6,43,PAINT,islands,0.0,version1
44,64807e099fee2ae4d98f4333,44,PAINT,islands,0.0,version1
45,6439543ee616ced1543ba843,45,PAINT,islands,0.0,version1
46,64807e1f9fee2ae4d98f434d,46,PAINT,islands,0.0,version1
47,63da498315945b3985992968,47,PAINT,NAT,0.0,version1
48,63ea15141be6ac9ae0a19890,48,PAINT,islands,0.0,version1
49,64807e289fee2ae4d98f435a,49,PAINT,PET,0.0,version1
50,641d49d42709bfc144c253e1,50,PAINT,islands,0.0,version1
51,640b062c2198b6f62543e77f,51,PAINT,islands,0.0,version1
52,646614a9f28f95ddf6dd06a6,52,PAINT,islands,0.0,version1
53,63ee04011be6ac9ae0a1bc25,53,PAINT,NAT,0.0,version1
54,64807e0e9fee2ae4d98f4338,54,PAINT,islands,0.0,version1
55,645cbc613aa9895f1b24d666,55,PAINT,NAT,0.0,version1
56,645cbc563aa9895f1b24d651,56,PAINT,islands,30.0,version1
57,641d49e12709bfc144c253f4,57,PAINT,islands,0.0,version1
58,6422d9572709bfc144c2a6cb,58,PAINT,islands,0.0,version1
59,643e7257e616ced1543be7a5,59,PAINT,islands,0.0,version1
60,63f8bd0f097b43395ea24958,60,PAINT,NAT,0.0,version1
61,6424054b2709bfc144c2c452,61,PAINT,islands,0.0,version1
62,643691daf912e511cc9e52db,62,PAINT,islands,0.0,version1
63,64490d6901e6c46b636de811,63,PAINT,islands,0.0,version1
64,6437ec55e616ced1543b87ab,64,PAINT,islands,0.0,version1
65,641d49d22709bfc144c253db,65,PAINT,islands,0.0,version1
66,63fdf2724ecce27a6fdffd8f,66,PAINT,islands,0.0,version1
67,6400936c4ecce27a6fe02178,67,PAINT,islands,0.0,version1
68,63e37d041be6ac9ae0a16bcf,68,PAINT,NAT,30.0,version1
69,641c3e6b2709bfc144c23bcc,69,PAINT,islands,0.0,version1
70,63e37d191be6ac9ae0a16c04,70,PAINT,NAT,0.0,version1
