sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,642bffef2709bfc144c33b3b,1,PAINT,LAN,0.0,version1
2,65041740d35d600a4a56789b,2,PAINT,LAN,30.0,version1
3,644a6f383aa9895f1b242eee,3,PAINT,LAN,0.0,version1
4,63ecb29a1be6ac9ae0a1aea3,4,PAINT,LAN,0.0,version1
5,644a70e83aa9895f1b242f59,5,PAINT,LAN,30.0,version1
6,6422da182709bfc144c2a70e,6,PAINT,LAN,0.0,version1
7,6342b05edf60b1b10e0f9e08,7,PAINT,LAN,30.0,version1
8,63ea15101be6ac9ae0a1988b,8,PAINT,LAN,0.0,version1
9,644501c501e6c46b636d67cd,9,PAINT,LAN,0.0,version1
10,64f6f641b5f53940ba779bd0,10,PAINT,LAN,30.0,version1
11,641d93752709bfc144c25d40,11,PAINT,LAN,0.0,version1
12,64a81c739313055ba531c674,12,PAINT,LAN,0.0,version1
13,6347f3e2df60b1b10e0fdbc6,13,PAINT,LAN,30.0,version1
14,65017fdcd35d600a4a565920,14,PAINT,LAN,0.0,version1
15,65041748d35d600a4a5678ac,15,PAINT,LAN,0.0,version1
16,650a4b5fd35d600a4a569f1a,16,PAINT,LAN,0.0,version1
17,650a6ebea44df2a3989bfc45,17,PAINT,LAN,0.0,version1
18,6503f497a44df2a398a2ba58,18,PAINT,LAN,0.0,version1
19,641d93622709bfc144c25d25,19,PAINT,LAN,0.0,version1
20,642bfff02709bfc144c33b3e,20,PAINT,LAN,30.0,version1
21,641442bb2709bfc144c17749,21,PAINT,LAN,30.0,version1
22,64f153b3b5f53940ba775f4b,22,PAINT,NAT,0.0,version1
23,64490d7d01e6c46b636de833,23,PAINT,LAN,0.0,version1
24,64a2ce40d5f8ce50f9808db8,24,PAINT,LAN,0.0,version1
25,63f59252d68059c52c6f754c,25,PAINT,LAN,0.0,version1
26,63c6818d2d7416019d9f3f06,26,PAINT,LAN,0.0,version1
27,6414429d2709bfc144c17709,27,PAINT,LAN,0.0,version1
28,6481adfdf8a7aa79d46abf2c,28,PAINT,LAN,0.0,version1
29,637619d4231933abb2704f08,29,PAINT,LAN,0.0,version1
30,64831469b2aadc44a3094b08,30,PAINT,LAN,0.0,version1
31,63c681892d7416019d9f3f01,31,PAINT,LAN,0.0,version1
32,64870143b2aadc44a3095a21,32,PAINT,LAN,0.0,version1
33,6487014db2aadc44a3095a2f,33,PAINT,LAN,30.0,version1
34,63c6818f2d7416019d9f3f0a,34,PAINT,LAN,0.0,version1
35,64426c0a01e6c46b636d5783,35,PAINT,LAN,30.0,version1
36,64870140b2aadc44a3095a1e,36,PAINT,LAN,0.0,version1
37,63e0d75215945b3985995abc,37,PAINT,LAN,0.0,version1
