sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,646f5f8b2102ac5b93e13e17,1,PAINT,man_made_scenery,0.0,version1
2,62da79f8f5ffecb01379e76e,2,PAINT,man_made_scenery,30.0,version1
3,64904800b2aadc44a3099e6a,3,PAINT,man_made_scenery,0.0,version1
4,63e61e561be6ac9ae0a18ba4,4,PAINT,man_made_scenery,0.0,version1
5,63e37d5e1be6ac9ae0a16c22,5,PAINT,man_made_scenery,0.0,version1
6,637f5d108062ac7fcbcb0fb0,6,PAINT,man_made_scenery,0.0,version1
7,646614a2f28f95ddf6dd069c,7,PAINT,man_made_scenery,0.0,version1
8,64884d55b2aadc44a309680b,8,PAINT,man_made_scenery,0.0,version1
9,6470865b2102ac5b93e146aa,9,PAINT,man_made_scenery,0.0,version1
10,648ae55eb2aadc44a3098037,10,PAINT,man_made_scenery,0.0,version1
11,648ae57fb2aadc44a309806f,11,PAINT,man_made_scenery,0.0,version1
12,649047f0b2aadc44a3099e55,12,PAINT,man_made_scenery,0.0,version1
13,64ed90f3b5f53940ba772621,13,PAINT,man_made_scenery,0.0,version1
14,648c419ab2aadc44a3098f92,14,PAINT,man_made_scenery,0.0,version1
15,64ed8f6cb5f53940ba7725dd,15,PAINT,man_made_scenery,0.0,version1
16,64e816b4b5f53940ba76fae1,16,PAINT,man_made_scenery,0.0,version1
17,652d0aef2c6230b0ee4824a2,17,PAINT,man_made_scenery,0.0,version1
18,6510e880b71cba9dc1ba3e2b,18,PAINT,man_made_scenery,0.0,version1
19,6221e73ea92e1086b4e253b7,19,PAINT,islands,30.0,version1
20,646756b1f28f95ddf6dd1f1e,20,PAINT,man_made_scenery,30.0,version1
21,64df087ce3cc3e2fb8026213,21,PAINT,man_made_scenery,0.0,version1
22,6512af4ab71cba9dc1ba6d74,22,PAINT,COL,0.0,version1
23,65081a17d35d600a4a568af2,23,PAINT,DRA,0.0,version1
24,650bb785bce68f6c3e01e67d,24,PAINT,man_made_scenery,0.0,version1
25,65017fdfd35d600a4a565927,25,PAINT,man_made_scenery,30.0,version1
