sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62381ff13d8d16fe91a19a20,1,PAINT,NAT,0.0,version1
2,6422d8fb2709bfc144c2a6bd,2,PAINT,NAT,0.0,version1
3,6320629260de5ff993ecf8a9,3,PAINT,NAT,0.0,version1
4,62d004e9f5ffecb01379916d,4,PAINT,NAT,0.0,version1
5,6331846360de5ff993ed7da9,5,PAINT,NAT,0.0,version1
6,641442b32709bfc144c1773b,6,PAINT,NAT,0.0,version1
7,6401cf7d4ecce27a6fe02b7b,7,PAINT,NAT,0.0,version1
8,65361fed7ceb043b1a8a62c2,8,PAINT,NAT,0.0,version1
9,65437992d726762824acb553,9,PAINT,NAT,0.0,version1
10,63fc9e254ecce27a6fdff2b0,10,PAINT,NAT,0.0,version1
11,63c9483a15945b398598f794,11,PAINT,NAT,0.0,version1
12,63f8c58d097b43395ea24aa7,12,PAINT,NAT,0.0,version1
13,63f755c6ee3e7c890f9aa2bf,13,PAINT,NAT,0.0,version1
14,63f8bd12097b43395ea2495c,14,PAINT,NAT,0.0,version1
15,63ef5aac93408aa8ac30c84c,15,PAINT,NAT,0.0,version1
16,6389d8fa8062ac7fcbcb656f,16,PAINT,NAT,0.0,version1
17,655c855c502b76bbf0dfe4a6,17,PAINT,NAT,0.0,version1
18,655f258c502b76bbf0e0203e,18,PAINT,NAT,0.0,version1
19,63ecb2841be6ac9ae0a1ae85,19,PAINT,NAT,0.0,version1
20,650037ecd35d600a4a5640a4,20,PAINT,NAT,0.0,version1
21,63ef5ab093408aa8ac30c851,21,PAINT,NAT,0.0,version1
22,63f61f63d68059c52c6f7ea6,22,PAINT,NAT,0.0,version1
23,6526817e91533be72f087d5d,23,PAINT,NAT,0.0,version1
24,63f8bcff097b43395ea24941,24,PAINT,NAT,30.0,version1
25,65361fee7ceb043b1a8a62c3,25,PAINT,NAT,0.0,version1
26,653f1d11a37cc17c0f856029,26,PAINT,NAT,0.0,version1
27,64996aa21ae5fb72cadc23c2,27,PAINT,NAT,0.0,version1
28,6538f21ec13dfaa4c2500d2e,28,PAINT,NAT,0.0,version1
29,65547f823b2c831c6da2d355,29,PAINT,NAT,0.0,version1
30,653f1d10a37cc17c0f856027,30,PAINT,NAT,0.0,version1
31,640f1bfb2198b6f62543facd,31,PAINT,NAT,0.0,version1
32,64df087be3cc3e2fb8026212,32,PAINT,NAT,0.0,version1
33,642bffdd2709bfc144c33b24,33,PAINT,NAT,0.0,version1
34,652c113d97f5d3b3dfba9160,34,PAINT,NAT,0.0,version1
35,65361fe87ceb043b1a8a62bb,35,PAINT,NAT,0.0,version1
36,63fc9e234ecce27a6fdff2ae,36,PAINT,NAT,30.0,version1
37,652c112c97f5d3b3dfba914c,37,PAINT,NAT,0.0,version1
38,653621897ceb043b1a8a63d7,38,PAINT,NAT,0.0,version1
39,64f1b284b5f53940ba776b45,39,PAINT,NAT,0.0,version1
40,653621787ceb043b1a8a63bd,40,PAINT,NAT,0.0,version1
41,63fc9e244ecce27a6fdff2af,41,PAINT,NAT,0.0,version1
42,650bb4c5bce68f6c3e01e58f,42,PAINT,NAT,0.0,version1
43,652d3c032c6230b0ee482793,43,PAINT,NAT,0.0,version1
44,652fad471400d8b6d675d9eb,44,PAINT,NAT,0.0,version1
45,641442a82709bfc144c1772c,45,PAINT,NAT,0.0,version1
46,6435568df912e511cc9e333b,46,PAINT,NAT,0.0,version1
47,642186e42709bfc144c283f2,47,PAINT,NAT,0.0,version1
48,64183c762709bfc144c19c4a,48,PAINT,NAT,30.0,version1
49,641442a72709bfc144c1772b,49,PAINT,NAT,0.0,version1
50,64a6c1a2d5f8ce50f980c07b,50,PAINT,NAT,0.0,version1
51,64904857b2aadc44a3099e7a,51,PAINT,NAT,0.0,version1
52,649da057d5f8ce50f9806e79,52,PAINT,NAT,0.0,version1
53,647086602102ac5b93e146b0,53,PAINT,NAT,0.0,version1
54,644a6f563aa9895f1b242f16,54,PAINT,NAT,0.0,version1
55,6454d2a13aa9895f1b246c0d,55,PAINT,NAT,0.0,version1
56,645b77c83aa9895f1b24be21,56,PAINT,NAT,30.0,version1
57,645a172b3aa9895f1b24a1fd,57,PAINT,NAT,0.0,version1
58,645e1abc3aa9895f1b24f312,58,PAINT,NAT,0.0,version1
59,646756b4f28f95ddf6dd1f20,59,PAINT,NAT,0.0,version1
60,643556e0f912e511cc9e33c1,60,PAINT,NAT,0.0,version1
61,6470866c2102ac5b93e146c0,61,PAINT,NAT,0.0,version1
62,647481c82102ac5b93e15c2d,62,PAINT,NAT,0.0,version1
63,642ff02a3fca8994168857e3,63,PAINT,NAT,0.0,version1
64,6422d81b2709bfc144c2a683,64,PAINT,NAT,0.0,version1
65,6487015ab2aadc44a3095a41,65,PAINT,NAT,0.0,version1
66,642e956d6a19448e1f86bb1b,66,PAINT,NAT,0.0,version1
67,642aa1172709bfc144c31e28,67,PAINT,NAT,0.0,version1
68,64355687f912e511cc9e3333,68,PAINT,NAT,0.0,version1
69,6422d9582709bfc144c2a6cc,69,PAINT,NAT,0.0,version1
