sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63ecb2931be6ac9ae0a1ae99,1,PAINT,OBJ,0.0,version1
2,6510e882b71cba9dc1ba3e2d,2,PAINT,OBJ,0.0,version1
3,6442694001e6c46b636d574c,3,PAINT,OBJ,0.0,version1
4,644501bb01e6c46b636d67bf,4,PAINT,OBJ,30.0,version1
5,640f1be02198b6f62543faa6,5,PAINT,OBJ,0.0,version1
6,6555ef283b2c831c6da30541,6,PAINT,OBJ,0.0,version1
7,64f9a462b5f53940ba77d36a,7,PAINT,OBJ,0.0,version1
8,63e2294915945b398599681f,8,PAINT,OBJ,30.0,version1
9,6401cff64ecce27a6fe02bb0,9,PAINT,OBJ,0.0,version1
10,63bd3e2abca7595bc8b9c39d,10,PAINT,OBJ,30.0,version1
11,64072c264ecce27a6fe04bb8,11,PAINT,OBJ,0.0,version1
12,646f5fad2102ac5b93e13e44,12,PAINT,OBJ,30.0,version1
13,64faf199d35d600a4a561099,13,PAINT,OBJ,0.0,version1
14,6410611b2198b6f625440cc3,14,PAINT,OBJ,0.0,version1
15,6368c38ba3145f1256fdc2fa,15,PAINT,OBJ,0.0,version1
16,6479c30c9fee2ae4d98f1a9b,16,PAINT,OBJ,30.0,version1
17,64f6f7efb5f53940ba779c6d,17,PAINT,OBJ,0.0,version1
18,64fedf0cd35d600a4a562840,18,PAINT,OBJ,30.0,version1
19,6536218c7ceb043b1a8a63db,19,PAINT,OBJ,0.0,version1
20,652e1f672c6230b0ee483740,20,PAINT,OBJ,0.0,version1
21,640f1be02198b6f62543faa7,21,PAINT,OBJ,0.0,version1
22,6441224be616ced1543c19cd,22,PAINT,OBJ,30.0,version1
23,6500387bd35d600a4a5640e8,23,PAINT,OBJ,0.0,version1
24,650a80bea44df2a398a1841e,24,PAINT,OBJ,0.0,version1
25,650a71c0a44df2a3989d4f4f,25,PAINT,OBJ,0.0,version1
26,650a706da44df2a3989cba6e,26,PAINT,OBJ,0.0,version1
27,65040d23a44df2a398a86e2c,27,PAINT,OBJ,0.0,version1
28,6503f497a44df2a398a2ba48,28,PAINT,OBJ,0.0,version1
29,64b5174f9313055ba5329ee0,29,PAINT,OBJ,0.0,version1
30,649da06dd5f8ce50f9806e97,30,PAINT,OBJ,0.0,version1
31,64a413e6d5f8ce50f9809ef1,31,PAINT,OBJ,0.0,version1
32,64afe4319313055ba5323362,32,PAINT,OBJ,30.0,version1
33,64df4dc9b5f53940ba76abb0,33,PAINT,OBJ,0.0,version1
34,6475e75a2102ac5b93e1a5bb,34,PAINT,OBJ,30.0,version1
