sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64ed8f72b5f53940ba7725e6,1,PAINT,SEA,0.0,version1
2,63a04078c00a83a598dba648,2,PAINT,SEA,0.0,version1
3,641c3e8c2709bfc144c23bfc,3,PAINT,SEA,0.0,version1
4,650037ecd35d600a4a5640a4,4,PAINT,NAT,0.0,version1
5,63b6a6bebca7595bc8b8fbe2,5,PAINT,SEA,30.0,version1
6,63c539b0dc8de1e7b38b3a4a,6,PAINT,SEA,0.0,version1
7,65361fee7ceb043b1a8a62c3,7,PAINT,NAT,0.0,version1
8,653f1d0ea37cc17c0f856025,8,PAINT,SEA,0.0,version1
9,6538f21ec13dfaa4c2500d2e,9,PAINT,NAT,0.0,version1
10,64df087be3cc3e2fb8026212,10,PAINT,NAT,0.0,version1
11,652c113d97f5d3b3dfba9160,11,PAINT,NAT,0.0,version1
12,64f1b284b5f53940ba776b45,12,PAINT,NAT,0.0,version1
13,644a6f383aa9895f1b242eee,13,PAINT,LAN,0.0,version1
14,655580ff3b2c831c6da2e993,14,PAINT,COL,0.0,version1
15,6332cf1cdf60b1b10e0f5974,15,PAINT,SEA,30.0,version1
16,633425cddf60b1b10e0f672e,16,PAINT,SEA,0.0,version1
17,635a6de3a3145f1256fcb4be,17,PAINT,SEA,0.0,version1
18,635fa73fa3145f1256fcce77,18,PAINT,SEA,0.0,version1
19,6320628d60de5ff993ecf8a2,19,PAINT,SEA,0.0,version1
20,63d61b7015945b39859900c8,20,PAINT,SEA,0.0,version1
21,647086612102ac5b93e146b1,21,PAINT,SEA,0.0,version1
22,62a2e785cce6b2f7f519188f,22,PAINT,SEA,0.0,version1
23,63d61b5a15945b39859900a9,23,PAINT,SEA,0.0,version1
24,636e27e2a7d40d730afb8e79,24,PAINT,SEA,0.0,version1
25,652e1f672c6230b0ee483740,25,PAINT,OBJ,0.0,version1
26,652d0af22c6230b0ee4824a5,26,PAINT,SEA,0.0,version1
27,652d06de2c6230b0ee48231e,27,PAINT,SEA,0.0,version1
28,6389d9158062ac7fcbcb6594,28,PAINT,SEA,0.0,version1
29,64a6c213d5f8ce50f980c0a7,29,PAINT,SEA,0.0,version1
30,64a7da169313055ba531c2f5,30,PAINT,SEA,0.0,version1
31,650a6bbba44df2a3989addd3,31,PAINT,SEA,0.0,version1
32,642bffe62709bfc144c33b30,32,PAINT,SEA,0.0,version1
33,64a413dfd5f8ce50f9809ee9,33,PAINT,SEA,30.0,version1
34,63d61b5c15945b39859900ad,34,PAINT,SEA,0.0,version1
35,64e80d72b5f53940ba76f976,35,PAINT,countryside,0.0,version1
36,6342a62ddf60b1b10e0f9c9d,36,PAINT,SEA,30.0,version1
37,646de88ae72c4297fd3236a6,37,PAINT,SEA,0.0,version1
38,647086652102ac5b93e146b7,38,PAINT,SEA,0.0,version1
39,653f1d0ea37cc17c0f856024,39,PAINT,PET,0.0,version1
40,647481c22102ac5b93e15c24,40,PAINT,SEA,0.0,version1
41,64ad44a29313055ba531f55a,41,PAINT,SEA,30.0,version1
42,63c681942d7416019d9f3f10,42,PAINT,SEA,0.0,version1
43,639078f3473e71ee5e374e2d,43,PAINT,SEA,0.0,version1
44,641308022709bfc144c16390,44,PAINT,SEA,0.0,version1
45,649c2120d5f8ce50f9805c98,45,PAINT,SEA,30.0,version1
46,63f755caee3e7c890f9aa2c4,46,PAINT,SEA,0.0,version1
47,622b133bd04cbab22ad69b14,47,PAINT,HOM,0.0,version1
48,6414429a2709bfc144c176f9,48,PAINT,SEA,0.0,version1
49,647086622102ac5b93e146b2,49,PAINT,SEA,30.0,version1
50,647481ac2102ac5b93e15c06,50,PAINT,SEA,0.0,version1
51,647481ad2102ac5b93e15c08,51,PAINT,FOO,0.0,version1
52,646ca61bf28f95ddf6dd4f3b,52,PAINT,SEA,30.0,version1
53,6435582bf912e511cc9e33dc,53,PAINT,SEA,0.0,version1
54,63c681932d7416019d9f3f0f,54,PAINT,SEA,30.0,version1
55,64105eed2198b6f625440c8d,55,PAINT,FOO,0.0,version1
56,64412265e616ced1543c19f0,56,PAINT,countryside,0.0,version1
57,642ff02c3fca8994168857e6,57,PAINT,SEA,30.0,version1
58,639078f5473e71ee5e374e2f,58,PAINT,SEA,0.0,version1
59,63a579f4bcdd690c41757e58,59,PAINT,SEA,30.0,version1
60,63b54f74bca7595bc8b8e56a,60,PAINT,SEA,0.0,version1
61,63c9480015945b398598f786,61,PAINT,SEA,30.0,version1
62,63a19221c00a83a598dbb836,62,PAINT,SEA,0.0,version1
63,6411bf812709bfc144c14b47,63,PAINT,SEA,0.0,version1
64,63c678b82d7416019d9f3dcd,64,PAINT,SEA,0.0,version1
65,63dcdb1015945b3985994684,65,PAINT,SEA,0.0,version1
66,63ecb2961be6ac9ae0a1ae9e,66,PAINT,OBJ,0.0,version1
67,6401cff54ecce27a6fe02baf,67,PAINT,FLO,30.0,version1
68,63aeb94dbca7595bc8b8cb92,68,PAINT,SEA,0.0,version1
69,63fc9e344ecce27a6fdff2c6,69,PAINT,OBJ,30.0,version1
70,63fc9e384ecce27a6fdff2cd,70,PAINT,travel,0.0,version1
71,63e61ee41be6ac9ae0a18bd2,71,PAINT,SEA,0.0,version1
72,63ea15031be6ac9ae0a19877,72,PAINT,NAT,0.0,version1
73,63ecb2971be6ac9ae0a1ae9f,73,PAINT,SEA,0.0,version1
74,63e61e551be6ac9ae0a18ba1,74,PAINT,SEA,0.0,version1
75,63d61b7415945b39859900ce,75,PAINT,SEA,0.0,version1
76,63e0d74f15945b3985995ab8,76,PAINT,SEA,0.0,version1
77,63b7f367bca7595bc8b91390,77,PAINT,SEA,0.0,version1
78,6385e3898062ac7fcbcb3c00,78,PAINT,SEA,0.0,version1
79,63c681842d7416019d9f3efa,79,PAINT,SEA,30.0,version1
80,63873f0a8062ac7fcbcb48d6,80,PAINT,SEA,0.0,version1
