sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64e410a7b5f53940ba76c825,1,PAINT,travel,0.0,version1
2,64621dac3aa9895f1b2508cc,2,PAINT,travel,30.0,version1
3,645a17403aa9895f1b24a222,3,PAINT,travel,30.0,version1
4,64ed8f7cb5f53940ba7725f4,4,PAINT,travel,30.0,version1
5,638886418062ac7fcbcb5689,5,PAINT,travel,0.0,version1
6,63e37cfa1be6ac9ae0a16bbf,6,PAINT,travel,0.0,version1
7,63f755c8ee3e7c890f9aa2c1,7,PAINT,travel,0.0,version1
8,63b7f363bca7595bc8b9138b,8,PAINT,travel,0.0,version1
9,641442bd2709bfc144c1774c,9,PAINT,travel,0.0,version1
10,6437ec57e616ced1543b87ae,10,PAINT,travel,30.0,version1
11,65124f1bb71cba9dc1ba605a,11,PAINT,travel,0.0,version1
12,6360f488a3145f1256fcdd70,12,PAINT,travel,0.0,version1
13,645a17413aa9895f1b24a223,13,PAINT,travel,0.0,version1
14,63f755c9ee3e7c890f9aa2c3,14,PAINT,travel,30.0,version1
15,64eea95ab5f53940ba7732df,15,PAINT,travel,0.0,version1
16,64eff617b5f53940ba774961,16,PAINT,travel,0.0,version1
17,650a824ca44df2a398a21296,17,PAINT,travel,0.0,version1
18,650a706da44df2a3989cba68,18,PAINT,travel,0.0,version1
19,650a6bbba44df2a3989addc6,19,PAINT,travel,0.0,version1
20,65040488a44df2a398a65b2b,20,PAINT,travel,0.0,version1
21,63931cd2473e71ee5e37671e,21,PAINT,travel,0.0,version1
22,64621f433aa9895f1b2508f6,22,PAINT,travel,0.0,version1
23,64eea97bb5f53940ba77330e,23,PAINT,travel,0.0,version1
24,64f153b4b5f53940ba775f4c,24,PAINT,NAT,0.0,version1
25,64f153b3b5f53940ba775f4b,25,PAINT,NAT,0.0,version1
26,64e817fcb5f53940ba76fb29,26,PAINT,DRA,0.0,version1
27,64490d6c01e6c46b636de816,27,PAINT,travel,0.0,version1
28,645b77cf3aa9895f1b24be2b,28,PAINT,travel,30.0,version1
29,64183c772709bfc144c19c4d,29,PAINT,travel,0.0,version1
30,649acc7bd5f8ce50f9804b0e,30,PAINT,travel,0.0,version1
31,6342b052df60b1b10e0f9def,31,PAINT,travel,30.0,version1
32,649047f0b2aadc44a3099e56,32,PAINT,travel,0.0,version1
33,6454d2ae3aa9895f1b246c1f,33,PAINT,DRA,0.0,version1
34,6466148cf28f95ddf6dd0679,34,PAINT,travel,0.0,version1
35,6426bb692709bfc144c300ac,35,PAINT,travel,0.0,version1
36,6454d2b43aa9895f1b246c28,36,PAINT,DRA,30.0,version1
37,64aea0049313055ba53215e7,37,PAINT,travel,0.0,version1
38,63dcdac315945b3985994669,38,PAINT,travel,0.0,version1
39,646de895e72c4297fd3236b5,39,PAINT,travel,0.0,version1
