sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62d93ce6f5ffecb01379e0a7,1,PAINT,ANI,0.0,version1
2,62d93ce3f5ffecb01379e0a1,2,PAINT,ANI,0.0,version1
3,6286633ce60a99787306e7cb,3,PAINT,ANI,0.0,version1
4,62d93ceaf5ffecb01379e0ac,4,PAINT,ANI,0.0,version1
5,6278d13dadf1572982bba593,5,PAINT,ANI,0.0,version1
6,62ecf45d892f399c79a7233e,6,PAINT,BIR,0.0,version1
7,6218d59cdd2394bfd6a7fcef,7,PAINT,ANI,0.0,version1
8,62d93ce8f5ffecb01379e0a9,8,PAINT,ANI,0.0,version1
9,62d93ce1f5ffecb01379e09f,9,PAINT,BIR,0.0,version1
10,62d93cdff5ffecb01379e09b,10,PAINT,ANI,0.0,version1
11,627b81dce60a99787306a99d,11,PAINT,ANI,0.0,version1
12,62d93cebf5ffecb01379e0ae,12,PAINT,BIR,0.0,version1
13,62d93ce0f5ffecb01379e09d,13,PAINT,BIR,0.0,version1
14,62d93ce1f5ffecb01379e09e,14,PAINT,PET,0.0,version1
15,62d93cdff5ffecb01379e09c,15,PAINT,BIR,0.0,version1
16,62d93ce9f5ffecb01379e0ab,16,PAINT,PET,0.0,version1
