sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62bd8fd99876e4a1a6005e0e,1,PAINT,FLO,0.0,version1
2,62d004e9f5ffecb01379916c,2,PAINT,FLO,0.0,version1
3,629eb9ae37b6ba0e5af781e0,3,PAINT,FLO,0.0,version1
4,62bd8fd89876e4a1a6005e0c,4,PAINT,FLO,0.0,version1
5,62c809ef9876e4a1a6009d54,5,PAINT,FLO,0.0,version1
6,62c2bbe59876e4a1a600778c,6,PAINT,FLO,0.0,version1
7,629ebdbf37b6ba0e5af782a0,7,PAINT,FLO,0.0,version1
8,62cc0c929876e4a1a600a537,8,PAINT,FLO,0.0,version1
9,62c809ed9876e4a1a6009d52,9,PAINT,FLO,0.0,version1
10,6278ea0dadf1572982bba83f,10,PAINT,,0.0,version1
11,62c809ee9876e4a1a6009d53,11,PAINT,FLO,0.0,version1
12,629eb9b037b6ba0e5af781e1,12,PAINT,FLO,0.0,version1
13,61d7f43e4be98567d5b033cb,13,PAINT,,0.0,version1
14,62cc0c939876e4a1a600a538,14,PAINT,FLO,0.0,version1
15,62dfd30af5ffecb0137ae4d0,15,PAINT,OBJ,0.0,version1
16,62c2bbe49876e4a1a600778a,16,PAINT,FLO,0.0,version1
