sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,635fa72da3145f1256fcce60,1,PAINT,,0.0,version1
2,6141f34541bd31b55a07957b,2,PAINT,,0.0,version1
3,6141f34541bd31b55a079580,3,PAINT,,0.0,version1
4,6141f34541bd31b55a079587,4,PAINT,,0.0,version1
5,6141f34541bd31b55a07958d,5,PAINT,,0.0,version1
6,6141f34541bd31b55a079595,6,PAINT,,0.0,version1
7,6141f34541bd31b55a07959b,7,PAINT,,0.0,version1
8,6141f34541bd31b55a0795a4,8,PAINT,,0.0,version1
9,6141f34541bd31b55a0795ab,9,PAINT,,0.0,version1
10,6141f34541bd31b55a0795b2,10,PAINT,,0.0,version1
11,6141f34541bd31b55a0795ba,11,PAINT,,0.0,version1
12,6141f34541bd31b55a0795c0,12,PAINT,,0.0,version1
13,6141f34541bd31b55a0795c8,13,PAINT,,0.0,version1
14,6141f34541bd31b55a0795d0,14,PAINT,,0.0,version1
15,6141f34541bd31b55a0795d8,15,PAINT,,0.0,version1
16,6141f34541bd31b55a0795de,16,PAINT,,0.0,version1
