sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,643691daf912e511cc9e52da,1,PAINT,BIR,0.0,version1
2,64aea0089313055ba53215ed,2,PAINT,ANI,0.0,version1
3,631884d360de5ff993ecd606,3,PAINT,ANI,0.0,version1
4,64a4122dd5f8ce50f9809ecc,4,PAINT,ANI,0.0,version1
5,64ad42ad9313055ba531f534,5,PAINT,PET,0.0,version1
6,62d940f3f5ffecb01379e0fe,6,PAINT,ANI,0.0,version1
7,648ae56db2aadc44a309804d,7,PAINT,ANI,0.0,version1
8,62d93ce2f5ffecb01379e0a0,8,PAINT,ANI,0.0,version1
9,64884d50b2aadc44a3096804,9,PAINT,ANI,0.0,version1
10,6374ba61231933abb2703e93,10,PAINT,BIR,0.0,version1
11,634f8e31a3145f1256fc5b4d,11,PAINT,BIR,0.0,version1
12,645e1ab53aa9895f1b24f307,12,PAINT,ANI,0.0,version1
13,6437ec4ce616ced1543b879e,13,PAINT,ANI,0.0,version1
14,63873f038062ac7fcbcb48cd,14,PAINT,ANI,0.0,version1
15,64562e383aa9895f1b24818c,15,PAINT,ANI,0.0,version1
16,64562e363aa9895f1b248189,16,PAINT,ANI,0.0,version1
