sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63ad6558bca7595bc8b8bd80,1,PAINT,,0.0,version1
2,6331845460de5ff993ed7d94,2,PAINT,,0.0,version1
3,63ac1d33bca7595bc8b8acb6,3,PAINT,,0.0,version1
4,63ac1d34bca7595bc8b8acb7,4,PAINT,,0.0,version1
5,63ad6557bca7595bc8b8bd7f,5,PAINT,,0.0,version1
6,63ac1d35bca7595bc8b8acb8,6,PAINT,,0.0,version1
7,63ad6555bca7595bc8b8bd7b,7,PAINT,,0.0,version1
8,63b4017dbca7595bc8b8d534,8,PAINT,,0.0,version1
9,63b4017cbca7595bc8b8d533,9,PAINT,,0.0,version1
10,63ad6556bca7595bc8b8bd7e,10,PAINT,,0.0,version1
11,63ad6556bca7595bc8b8bd7d,11,PAINT,,0.0,version1
12,63ad654ebca7595bc8b8bd72,12,PAINT,,0.0,version1
13,63ad654fbca7595bc8b8bd73,13,PAINT,,0.0,version1
14,63ac1d32bca7595bc8b8acb3,14,PAINT,,0.0,version1
15,63ad6552bca7595bc8b8bd77,15,PAINT,,0.0,version1
16,63ad6550bca7595bc8b8bd74,16,PAINT,,0.0,version1
17,63ad6553bca7595bc8b8bd78,17,PAINT,,0.0,version1
18,63ad6551bca7595bc8b8bd75,18,PAINT,,0.0,version1
19,63ad6551bca7595bc8b8bd76,19,PAINT,,0.0,version1
20,63ad6553bca7595bc8b8bd79,20,PAINT,,0.0,version1
21,63ac1d33bca7595bc8b8acb4,21,PAINT,,0.0,version1
22,63ac1d31bca7595bc8b8acb2,22,PAINT,,0.0,version1
23,63ad6554bca7595bc8b8bd7a,23,PAINT,,0.0,version1
24,63b4017bbca7595bc8b8d531,24,PAINT,,0.0,version1
25,63b4017cbca7595bc8b8d532,25,PAINT,,0.0,version1
26,63ad654ebca7595bc8b8bd71,26,PAINT,,0.0,version1
