sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,624ff5cc7c339f696ffb184a,1,PAINT,,0.0,version1
2,6244401458b9c9c4d11de180,2,PAINT,,0.0,version1
3,627b81dfe60a99787306a99f,3,PAINT,,0.0,version1
4,62209132ef73fcd39811c545,4,PAINT,,0.0,version1
5,624443b458b9c9c4d11de1e8,5,PAINT,,0.0,version1
6,624443b558b9c9c4d11de1e9,6,PAINT,,0.0,version1
7,624443bb58b9c9c4d11de1ef,7,PAINT,,0.0,version1
8,62443eeb58b9c9c4d11de152,8,PAINT,,0.0,version1
9,624443b158b9c9c4d11de1e4,9,PAINT,,0.0,version1
10,62443eec58b9c9c4d11de153,10,PAINT,,0.0,version1
11,6244401458b9c9c4d11de181,11,PAINT,,0.0,version1
12,624d4d2224cb8e8b164e10ce,12,PAINT,,0.0,version1
13,6243ca2a3e769fc803e195b8,13,PAINT,,0.0,version1
14,621f5ed5ef73fcd39811aec9,14,PAINT,,0.0,version1
15,6244401058b9c9c4d11de17d,15,PAINT,,0.0,version1
16,62592921b571ac9f45e870f2,16,PAINT,,0.0,version1
