sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6242bf753e769fc803e18f1b,1,PAINT,,0.0,version1
2,6231a6613d8d16fe91a13b07,2,PAINT,,0.0,version1
3,623d76563e769fc803e1326f,3,PAINT,,0.0,version1
4,6242bf743e769fc803e18f19,4,PAINT,,0.0,version1
5,622b1344d04cbab22ad69b1e,5,PAINT,OBJ,0.0,version1
6,6242bf723e769fc803e18f0f,6,PAINT,,0.0,version1
7,623d76573e769fc803e13270,7,PAINT,,0.0,version1
8,6242bf6f3e769fc803e18f07,8,PAINT,,0.0,version1
9,6242bf6d3e769fc803e18eff,9,PAINT,ART,0.0,version1
10,6242bf733e769fc803e18f13,10,PAINT,,0.0,version1
11,6242bf723e769fc803e18f11,11,PAINT,,0.0,version1
12,622b1343d04cbab22ad69b1c,12,PAINT,,0.0,version1
13,6242bf713e769fc803e18f0a,13,PAINT,,0.0,version1
14,6242bf733e769fc803e18f15,14,PAINT,,0.0,version1
15,6242bf743e769fc803e18f17,15,PAINT,,0.0,version1
16,621743daa58eb44be7afacd8,16,PAINT,,0.0,version1
