sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62d93cf9f5ffecb01379e0c3,1,PAINT,FOO,0.0,version1
2,61c961567412358bc7cb3ad3,2,PAINT,,0.0,version1
3,621f5ecbef73fcd39811aea2,3,PAINT,FOO,0.0,version1
4,63035f98a9e3310549e5e077,4,PAINT,FOO,0.0,version1
5,626b8b12adf1572982bb6669,5,PAINT,,0.0,version1
6,62ff6e10a9e3310549e5d456,6,PAINT,FOO,0.0,version1
7,61c9614e7412358bc7cb3ac2,7,PAINT,,0.0,version1
8,61c9615a7412358bc7cb3ae8,8,PAINT,,0.0,version1
9,61c961567412358bc7cb3ad1,9,PAINT,,0.0,version1
10,62763c32adf1572982bb99eb,10,PAINT,FOO,0.0,version1
11,61c961577412358bc7cb3ad7,11,PAINT,,0.0,version1
12,6220912bef73fcd39811c498,12,PAINT,FOO,0.0,version1
13,61c961587412358bc7cb3ad9,13,PAINT,,0.0,version1
14,61c9614f7412358bc7cb3ac3,14,PAINT,,0.0,version1
15,61b07f02e7429fa60678cdbc,15,PAINT,,0.0,version1
16,61c961547412358bc7cb3acd,16,PAINT,,0.0,version1
