sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64ae69109313055ba532105a,1,PAINT,FES,0.0,version1
2,645380933aa9895f1b245354,2,PAINT,FES,0.0,version1
3,63775f31231933abb270609b,3,PAINT,FES,0.0,version1
4,64490d8001e6c46b636de836,4,PAINT,FES,0.0,version1
5,64f5a4b7b5f53940ba77822c,5,PAINT,FES,0.0,version1
6,633425bddf60b1b10e0f6717,6,PAINT,FOO,0.0,version1
7,64f59be4b5f53940ba778062,7,PAINT,FES,0.0,version1
8,636ccfe5a7d40d730afb7bcc,8,PAINT,FES,0.0,version1
9,636b80528123ad5cd16ef23a,9,PAINT,PET,0.0,version1
10,64fabae725fb8bb6d61b02e9,10,PAINT,FES,0.0,version1
11,652c113797f5d3b3dfba9159,11,PAINT,FES,0.0,version1
12,646614a8f28f95ddf6dd06a5,12,PAINT,FES,0.0,version1
13,64e48db3b5f53940ba76d4d4,13,PAINT,FES,0.0,version1
14,63513983a3145f1256fc71cb,14,PAINT,FES,0.0,version1
15,642ff05a3fca899416885830,15,PAINT,FES,0.0,version1
16,64621dc13aa9895f1b2508e9,16,PAINT,FES,0.0,version1
