sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6298a9e570e7eac4294eb96e,1,PAINT,,0.0,version1
2,629035492435f4e913f792fd,2,PAINT,,0.0,version1
3,6290354d2435f4e913f792ff,3,PAINT,,0.0,version1
4,627b81d3e60a99787306a994,4,PAINT,,0.0,version1
5,629035562435f4e913f79305,5,PAINT,,0.0,version1
6,6298a9e470e7eac4294eb96d,6,PAINT,,0.0,version1
7,6298a9ea70e7eac4294eb985,7,PAINT,,0.0,version1
8,6298a9e670e7eac4294eb973,8,PAINT,,0.0,version1
9,628f844d2435f4e913f78f82,9,PAINT,,0.0,version1
10,628f84482435f4e913f78f72,10,PAINT,,0.0,version1
11,628cb82d7195fe52e6c8f05b,11,PAINT,,0.0,version1
12,628f844d2435f4e913f78f80,12,PAINT,,0.0,version1
13,6298a9da70e7eac4294eb964,13,PAINT,,0.0,version1
14,6298a9e970e7eac4294eb984,14,PAINT,,0.0,version1
15,629035472435f4e913f792fb,15,PAINT,,0.0,version1
16,6298a9dd70e7eac4294eb966,16,PAINT,,0.0,version1
