sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62c2bbe19876e4a1a6007786,1,PAINT,NAT,0.0,version1
2,62bc3d8b9876e4a1a6005582,2,PAINT,NAT,0.0,version1
3,62b595f66e06975c0c937634,3,PAINT,NAT,0.0,version1
4,62b970839876e4a1a60037b5,4,PAINT,NAT,0.0,version1
5,62b595f96e06975c0c937638,5,PAINT,NAT,0.0,version1
6,62b970829876e4a1a60037b4,6,PAINT,NAT,0.0,version1
7,62bc3d8c9876e4a1a6005583,7,PAINT,NAT,0.0,version1
8,62b595f56e06975c0c937632,8,PAINT,NAT,0.0,version1
9,62b595f96e06975c0c937637,9,PAINT,NAT,0.0,version1
10,62bed3919876e4a1a600670f,10,PAINT,NAT,0.0,version1
11,62b595f66e06975c0c937633,11,PAINT,NAT,0.0,version1
12,62bed3919876e4a1a6006710,12,PAINT,NAT,0.0,version1
13,62bed3929876e4a1a6006711,13,PAINT,NAT,0.0,version1
14,61b7023bd33e7074085750c8,14,PAINT,,0.0,version1
15,62c413cd9876e4a1a6008358,15,PAINT,NAT,0.0,version1
16,62b595f76e06975c0c937635,16,PAINT,NAT,0.0,version1
