sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,638f2284473e71ee5e373a15,1,PAINT,BIR,0.0,version1
2,640096474ecce27a6fe021e2,2,PAINT,BIR,0.0,version1
3,6399a6c0473e71ee5e37846a,3,PAINT,BIR,0.0,version1
4,642e95786a19448e1f86bb2c,4,PAINT,BIR,0.0,version1
5,643556aff912e511cc9e337f,5,PAINT,BIR,0.0,version1
6,6374ba5d231933abb2703e83,6,PAINT,BIR,0.0,version1
7,6405d5e14ecce27a6fe038da,7,PAINT,BIR,0.0,version1
8,637619dd231933abb2704f14,8,PAINT,BIR,0.0,version1
9,63fc9e204ecce27a6fdff2aa,9,PAINT,BIR,0.0,version1
10,63be8af3bca7595bc8b9d486,10,PAINT,BIR,0.0,version1
11,642ff0413fca899416885808,11,PAINT,BIR,0.0,version1
12,6374ba54231933abb2703e64,12,PAINT,BIR,0.0,version1
13,63e61e5a1be6ac9ae0a18ba9,13,PAINT,BIR,0.0,version1
14,6435567cf912e511cc9e3325,14,PAINT,BIR,0.0,version1
15,641996dd2709bfc144c1c839,15,PAINT,BIR,0.0,version1
16,6437ec41e616ced1543b878e,16,PAINT,BIR,0.0,version1
