sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,617f91d8b5e166506a83b0fb,1,PAINT,,0.0,version1
2,616eafdc95170cc3828b16b8,2,PAINT,,0.0,version1
3,617f93cfb5e166506a83b13b,3,PAINT,,0.0,version1
4,6180fac3b5e166506a83b3ba,4,PAINT,,0.0,version1
5,617f9309b5e166506a83b127,5,PAINT,,0.0,version1
6,617bb040b5e166506a83aebb,6,PAINT,,0.0,version1
7,6180fbb1b5e166506a83b3d3,7,PAINT,,0.0,version1
8,616eb21495170cc3828b16cd,8,PAINT,,0.0,version1
9,617baee1b5e166506a83ae8e,9,PAINT,,0.0,version1
10,618b74316ac28a0ab9b2bf7c,10,PAINT,,0.0,version1
11,6169680b95170cc3828b11fb,11,PAINT,,0.0,version1
12,617f9284b5e166506a83b117,12,PAINT,,0.0,version1
13,618b74ec6ac28a0ab9b2bf8c,13,PAINT,,0.0,version1
14,618b71bb6ac28a0ab9b2bf20,14,PAINT,,0.0,version1
15,617baf9bb5e166506a83aeaa,15,PAINT,,0.0,version1
16,618b730b6ac28a0ab9b2bf54,16,PAINT,,0.0,version1
