sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,619c98b99f7909c54dd492ad,1,PAINT,,0.0,version1
2,619c97ce9f7909c54dd4926a,2,PAINT,,0.0,version1
3,619c987f9f7909c54dd4929b,3,PAINT,,0.0,version1
4,6227249ed04cbab22ad6734b,4,PAINT,,0.0,version1
5,619c97f69f7909c54dd49276,5,PAINT,,0.0,version1
6,619f512f7fb8b15532ef84de,6,PAINT,,0.0,version1
7,619c989d9f7909c54dd492a5,7,PAINT,,0.0,version1
8,619c983c9f7909c54dd49289,8,PAINT,,0.0,version1
9,619c97719f7909c54dd49252,9,PAINT,,0.0,version1
10,619f4fd47fb8b15532ef8473,10,PAINT,,0.0,version1
11,619c98299f7909c54dd49282,11,PAINT,,0.0,version1
12,619c980f9f7909c54dd4927e,12,PAINT,,0.0,version1
13,619c984d9f7909c54dd4928e,13,PAINT,,0.0,version1
14,619c97a39f7909c54dd4925e,14,PAINT,,0.0,version1
15,619c97529f7909c54dd4924a,15,PAINT,,0.0,version1
16,619c98ac9f7909c54dd492a9,16,PAINT,,0.0,version1
