sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61a74e58ad22f796bd05414b,1,PAINT,,0.0,version1
2,61a74ea7ad22f796bd054151,2,PAINT,,0.0,version1
3,61a74eddad22f796bd05415e,3,PAINT,,0.0,version1
4,61b9b5ee0e52680e19f12a7c,4,PAINT,,0.0,version1
5,61a8870bc1556423f09ae615,5,PAINT,,0.0,version1
6,61a9e7130b9699924a1a3733,6,PAINT,,0.0,version1
7,61b70068d33e707408575050,7,PAINT,,0.0,version1
8,61a9e7130b9699924a1a3735,8,PAINT,,0.0,version1
9,61a73bd5ad22f796bd05401a,9,PAINT,,0.0,version1
10,61a88840c1556423f09ae67b,10,PAINT,,0.0,version1
11,61cd5e2e7412358bc7cb5004,11,PAINT,,0.0,version1
12,61b9b63a0e52680e19f12a95,12,PAINT,,0.0,version1
13,61a886cdc1556423f09ae5f1,13,PAINT,,0.0,version1
14,61a9e7130b9699924a1a3734,14,PAINT,,0.0,version1
15,61a74ea8ad22f796bd054152,15,PAINT,,0.0,version1
16,61a74e2cad22f796bd054139,16,PAINT,,0.0,version1
