sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,648ae574b2aadc44a3098060,1,PAINT,,0.0,version1
2,647481c12102ac5b93e15c22,2,PAINT,SEA,0.0,version1
3,641da0f22709bfc144c2601b,3,PAINT,,0.0,version1
4,63f34a65d68059c52c6f5f7e,4,PAINT,HOM,0.0,version1
5,6319d51960de5ff993ece088,5,PAINT,SEA,0.0,version1
6,64981dac1ae5fb72cadc10df,6,PAINT,NAT,0.0,version1
7,6470865d2102ac5b93e146ad,7,PAINT,FES,0.0,version1
8,6342a62edf60b1b10e0f9c9f,8,PAINT,SEA,0.0,version1
9,643d2440e616ced1543bc5c7,9,PAINT,NAT,0.0,version1
10,64897629b2aadc44a3097229,10,PAINT,,0.0,version1
11,64a7da179313055ba531c2f6,11,PAINT,SEA,0.0,version1
12,6332cfcadf60b1b10e0f59d6,12,PAINT,SEA,0.0,version1
13,633575a1df60b1b10e0f78c4,13,PAINT,SEA,0.0,version1
14,62a2e78bcce6b2f7f5191894,14,PAINT,SEA,0.0,version1
15,634150c3df60b1b10e0f9392,15,PAINT,SEA,0.0,version1
16,6332cf1fdf60b1b10e0f597a,16,PAINT,SEA,0.0,version1
