sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63454f30df60b1b10e0fbaac,1,PAINT,,0.0,version1
2,63454f2fdf60b1b10e0fbaaa,2,PAINT,ANI,0.0,version1
3,63454f37df60b1b10e0fbab6,3,PAINT,ANI,0.0,version1
4,63454f2edf60b1b10e0fbaa9,4,PAINT,ANI,0.0,version1
5,6267b9c0d2a541bce167c7de,5,PAINT,FLO,0.0,version1
6,6322c50460de5ff993ed0da0,6,PAINT,ANI,0.0,version1
7,63035f96a9e3310549e5e075,7,PAINT,COL,0.0,version1
8,622724a1d04cbab22ad67359,8,PAINT,FLO,0.0,version1
9,62e90dd7892f399c79a6fc2b,9,PAINT,ANI,0.0,version1
10,62e90dde892f399c79a6fc36,10,PAINT,ANI,0.0,version1
11,63454f2ddf60b1b10e0fbaa8,11,PAINT,ANI,0.0,version1
12,62ff6e26a9e3310549e5d475,12,PAINT,FLO,0.0,version1
13,61af3b40a2977bb919fa65fa,13,PAINT,,0.0,version1
14,628cb8457195fe52e6c8f089,14,PAINT,ANI,0.0,version1
15,63454f2fdf60b1b10e0fbaab,15,PAINT,ANI,0.0,version1
16,62a0098237b6ba0e5af790d7,16,PAINT,FLO,0.0,version1
