sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,650a505dd35d600a4a569fb2,1,PAINT,COL,0.0,version1
2,64eea965b5f53940ba7732ee,2,PAINT,FES,0.0,version1
3,652687f591533be72f087ed7,3,PAINT,VIN,0.0,version1
4,649da058d5f8ce50f9806e7b,4,PAINT,COL,0.0,version1
5,64fee20fd35d600a4a5628a1,5,PAINT,OBJ,0.0,version1
6,645cbc4f3aa9895f1b24d645,6,PAINT,COL,0.0,version1
7,64faf195d35d600a4a561093,7,PAINT,OBJ,0.0,version1
8,645cbc4e3aa9895f1b24d644,8,PAINT,COL,0.0,version1
9,64f5a4b4b5f53940ba778228,9,PAINT,FES,0.0,version1
10,6435569ef912e511cc9e335a,10,PAINT,COL,0.0,version1
11,64f59bdfb5f53940ba77805d,11,PAINT,FES,0.0,version1
12,642565902709bfc144c2e61d,12,PAINT,COL,0.0,version1
13,63da493815945b3985992945,13,PAINT,OBJ,0.0,version1
14,64f1b37fb5f53940ba776b73,14,PAINT,FES,0.0,version1
15,64f1ad40b5f53940ba776a7a,15,PAINT,FES,0.0,version1
16,6308a9d7c27290e69f192784,16,PAINT,OBJ,0.0,version1
