sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6446700d01e6c46b636d8159,1,PAINT,man_made_scenery,0.0,version1
2,642565652709bfc144c2e5db,2,PAINT,LAN,0.0,version1
3,6425658e2709bfc144c2e61a,3,PAINT,COL,0.0,version1
4,63a2e665c00a83a598dbc528,4,PAINT,TRA,0.0,version1
5,64426c0b01e6c46b636d5785,5,PAINT,LAN,0.0,version1
6,6422d8112709bfc144c2a677,6,PAINT,travel,0.0,version1
7,62f24838892f399c79a74028,7,PAINT,travel,0.0,version1
8,6441226be616ced1543c19f8,8,PAINT,man_made_scenery,0.0,version1
9,6426bb6f2709bfc144c300b6,9,PAINT,LAN,0.0,version1
10,64e48db9b5f53940ba76d4db,10,PAINT,man_made_scenery,0.0,version1
11,642186cd2709bfc144c283d1,11,PAINT,travel,0.0,version1
12,64a7dd7c9313055ba531c364,12,PAINT,man_made_scenery,0.0,version1
13,63a2e666c00a83a598dbc529,13,PAINT,TRA,0.0,version1
14,6426bb6e2709bfc144c300b5,14,PAINT,COL,0.0,version1
15,642186c42709bfc144c283c4,15,PAINT,travel,0.0,version1
16,64426c0e01e6c46b636d5788,16,PAINT,man_made_scenery,0.0,version1
