sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6177ce48b5e166506a83a9ef,1,PAINT,,0.0,version1
2,617a6effb5e166506a83acf7,2,PAINT,,0.0,version1
3,617a6e83b5e166506a83ace3,3,PAINT,,0.0,version1
4,618a2f5a6ac28a0ab9b2be68,4,PAINT,,0.0,version1
5,617a6eb3b5e166506a83aceb,5,PAINT,,0.0,version1
6,617a6edeb5e166506a83acf3,6,PAINT,,0.0,version1
7,617a6e56b5e166506a83acdb,7,PAINT,,0.0,version1
8,617a6f33b5e166506a83acff,8,PAINT,,0.0,version1
9,617a6de7b5e166506a83acc9,9,PAINT,,0.0,version1
10,617a6db5b5e166506a83acc1,10,PAINT,,0.0,version1
11,617a6e99b5e166506a83ace7,11,PAINT,,0.0,version1
12,617a6e6eb5e166506a83acdf,12,PAINT,,0.0,version1
13,6177ce1cb5e166506a83a9e7,13,PAINT,,0.0,version1
14,617a6d1ab5e166506a83aca9,14,PAINT,,0.0,version1
15,61766d5bb5e166506a83a494,15,PAINT,,0.0,version1
16,618a2fcb6ac28a0ab9b2be74,16,PAINT,,0.0,version1
