sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63f61f67d68059c52c6f7eab,1,PAINT,HAR,0.0,version1
2,63c6817e2d7416019d9f3ef3,2,PAINT,FLO,0.0,version1
3,6336ca62df60b1b10e0f85f7,3,PAINT,COL,0.0,version1
4,6360f48ca3145f1256fcdd75,4,PAINT,HAR,0.0,version1
5,63ee040d1be6ac9ae0a1bc37,5,PAINT,HAR,0.0,version1
6,63e2292b15945b39859967f4,6,PAINT,ART,0.0,version1
7,63dcdaba15945b398599465a,7,PAINT,ART,0.0,version1
8,6357ccc4a3145f1256fc99d5,8,PAINT,ANI,0.0,version1
9,61b7023bd33e7074085750ca,9,PAINT,,0.0,version1
10,63f61f66d68059c52c6f7eaa,10,PAINT,HAR,0.0,version1
11,634d430fa3145f1256fc486f,11,PAINT,NAT,0.0,version1
12,63ee04091be6ac9ae0a1bc30,12,PAINT,COL,0.0,version1
13,61e509bd0660c83c4796cd4e,13,PAINT,,0.0,version1
14,636a2a5da3145f1256fdd810,14,PAINT,COL,0.0,version1
15,63e2294715945b398599681c,15,PAINT,COL,0.0,version1
16,63e37cf51be6ac9ae0a16bb8,16,PAINT,HAR,0.0,version1
