sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61c433a9ed9188e5e70ee009,1,PAINT,,0.0,version1
2,61c4339bed9188e5e70edfec,2,PAINT,,0.0,version1
3,61c433aded9188e5e70ee01a,3,PAINT,,0.0,version1
4,61c433b3ed9188e5e70ee02d,4,PAINT,,0.0,version1
5,61c433b2ed9188e5e70ee02b,5,PAINT,,0.0,version1
6,61c190d548d1967c9e5381b6,6,PAINT,,0.0,version1
7,61c433a6ed9188e5e70edfff,7,PAINT,,0.0,version1
8,61c433b1ed9188e5e70ee025,8,PAINT,,0.0,version1
9,61c433a7ed9188e5e70ee001,9,PAINT,,0.0,version1
10,61c433aced9188e5e70ee018,10,PAINT,,0.0,version1
11,61c433b6ed9188e5e70ee037,11,PAINT,,0.0,version1
12,61c433aeed9188e5e70ee01e,12,PAINT,,0.0,version1
13,6188da3cb5e166506a83be49,13,PAINT,,0.0,version1
14,61c433afed9188e5e70ee024,14,PAINT,,0.0,version1
15,61c433b4ed9188e5e70ee02e,15,PAINT,,0.0,version1
16,61c43399ed9188e5e70edfea,16,PAINT,,0.0,version1
