sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63590ad6a3145f1256fca2ef,1,PAINT,OBJ,0.0,version1
2,63590adca3145f1256fca2f7,2,PAINT,FOO,0.0,version1
3,6357ccd2a3145f1256fc99e6,3,PAINT,PET,0.0,version1
4,6324438b60de5ff993ed24cb,4,PAINT,OBJ,0.0,version1
5,61c961577412358bc7cb3ad5,5,PAINT,,0.0,version1
6,63590ad9a3145f1256fca2f4,6,PAINT,,0.0,version1
7,61b1d0e484caec0d15ba34a3,7,PAINT,,0.0,version1
8,636e27d6a7d40d730afb8e69,8,PAINT,,0.0,version1
9,63624593a3145f1256fcee22,9,PAINT,FOO,0.0,version1
10,631884e760de5ff993ecd621,10,PAINT,HOM,0.0,version1
11,6332cf32df60b1b10e0f59a5,11,PAINT,FOO,0.0,version1
12,61d69f367412358bc7cb6201,12,PAINT,,0.0,version1
13,63590adba3145f1256fca2f6,13,PAINT,HOM,0.0,version1
14,63590ad4a3145f1256fca2ed,14,PAINT,OBJ,0.0,version1
15,63590adaa3145f1256fca2f5,15,PAINT,HOM,0.0,version1
16,6324438f60de5ff993ed24d0,16,PAINT,OBJ,0.0,version1
