sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61712e94b9ac9205edbd11bc,1,PAINT,,0.0,version1
2,61712b33b9ac9205edbd1171,2,PAINT,,0.0,version1
3,61712acbb9ac9205edbd1161,3,PAINT,,0.0,version1
4,61712f7fb9ac9205edbd11dd,4,PAINT,,0.0,version1
5,62417e7c3e769fc803e145af,5,PAINT,,0.0,version1
6,61712a3cb9ac9205edbd114d,6,PAINT,,0.0,version1
7,617129c3b9ac9205edbd1139,7,PAINT,,0.0,version1
8,61712982b9ac9205edbd112d,8,PAINT,,0.0,version1
9,61712b18b9ac9205edbd116d,9,PAINT,,0.0,version1
10,61712f49b9ac9205edbd11d5,10,PAINT,,0.0,version1
11,61712d07b9ac9205edbd1195,11,PAINT,,0.0,version1
12,61712a6bb9ac9205edbd1155,12,PAINT,,0.0,version1
13,61712ed0b9ac9205edbd11c4,13,PAINT,,0.0,version1
14,61713058b9ac9205edbd1201,14,PAINT,,0.0,version1
15,61824e6eb5e166506a83b4b7,15,PAINT,,0.0,version1
16,61712e7db9ac9205edbd11b8,16,PAINT,,0.0,version1
