sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,636b80378123ad5cd16ef212,1,PAINT,COL,0.0,version1
2,62ff6e0fa9e3310549e5d455,2,PAINT,COL,0.0,version1
3,636e27e1a7d40d730afb8e78,3,PAINT,COL,0.0,version1
4,637619da231933abb2704f10,4,PAINT,COL,0.0,version1
5,63873f1e8062ac7fcbcb48f0,5,PAINT,OBJ,0.0,version1
6,63873f118062ac7fcbcb48df,6,PAINT,OBJ,0.0,version1
7,63873f1d8062ac7fcbcb48ef,7,PAINT,OBJ,0.0,version1
8,637dfb908062ac7fcbcb0497,8,PAINT,ART,0.0,version1
9,63873f158062ac7fcbcb48e4,9,PAINT,OBJ,0.0,version1
10,63736d62231933abb2702cac,10,PAINT,COL,0.0,version1
11,637dfb928062ac7fcbcb049a,11,PAINT,COL,0.0,version1
12,635284faa3145f1256fc80c0,12,PAINT,COL,0.0,version1
13,635284eca3145f1256fc80ac,13,PAINT,,0.0,version1
14,62ff6e0ea9e3310549e5d454,14,PAINT,COL,0.0,version1
15,63775f17231933abb2706079,15,PAINT,COL,0.0,version1
16,635284f6a3145f1256fc80bb,16,PAINT,COL,0.0,version1
