sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a079265,1,PAINT,,0.0,version1
2,6141f34541bd31b55a07925f,2,PAINT,,0.0,version1
3,6141f34541bd31b55a079248,3,PAINT,,0.0,version1
4,6141f34541bd31b55a079212,4,PAINT,,0.0,version1
5,6141f34541bd31b55a07922a,5,PAINT,,0.0,version1
6,6141f34541bd31b55a079239,6,PAINT,,0.0,version1
7,6141f34541bd31b55a079257,7,PAINT,,0.0,version1
8,6141f34541bd31b55a079270,8,PAINT,,0.0,version1
9,6141f34541bd31b55a07926b,9,PAINT,,0.0,version1
10,6141f34541bd31b55a07924f,10,PAINT,,0.0,version1
11,6141f34541bd31b55a07921e,11,PAINT,,0.0,version1
12,6141f34541bd31b55a079242,12,PAINT,,0.0,version1
13,6141f34541bd31b55a079231,13,PAINT,,0.0,version1
14,6141f34541bd31b55a079224,14,PAINT,,0.0,version1
15,6141f34541bd31b55a079218,15,PAINT,,0.0,version1
16,6141f34541bd31b55a07920c,16,PAINT,,0.0,version1
