sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,619de3452e0553e7d8b57285,1,PAINT,,0.0,version1
2,61a4442185bcd1c083293feb,2,PAINT,,0.0,version1
3,61728b17b5e166506a83a28d,3,PAINT,,0.0,version1
4,61a0bb0550a6b7268b7113a1,4,PAINT,,0.0,version1
5,61f4f8e0d725dfe60a9c3fe4,5,PAINT,,0.0,version1
6,619de37c2e0553e7d8b572a1,6,PAINT,,0.0,version1
7,61a0bb2850a6b7268b7113a7,7,PAINT,,0.0,version1
8,6194a7a3750e3c7dcc13419c,8,PAINT,,0.0,version1
9,61a0bb0550a6b7268b7113a0,9,PAINT,,0.0,version1
10,61f4f8dbd725dfe60a9c3fde,10,PAINT,,0.0,version1
11,61a4442085bcd1c083293fe5,11,PAINT,,0.0,version1
12,61a4442085bcd1c083293fe8,12,PAINT,,0.0,version1
13,6172939ab5e166506a83a2ad,13,PAINT,,0.0,version1
14,61a4442085bcd1c083293fe7,14,PAINT,,0.0,version1
15,61f3ae260cbd8ab1f88ada9a,15,PAINT,,0.0,version1
16,6194a5ee750e3c7dcc13413c,16,PAINT,,0.0,version1
