sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64df087de3cc3e2fb8026216,1,PAINT,VIN,0.0,version1
2,635a6dd5a3145f1256fcb4ab,2,PAINT,OBJ,0.0,version1
3,6389d9058062ac7fcbcb657d,3,PAINT,FES,0.0,version1
4,647db5ab9fee2ae4d98f2a00,4,PAINT,PET,0.0,version1
5,64e81a44b5f53940ba76fbbc,5,PAINT,OBJ,0.0,version1
6,642186d42709bfc144c283dc,6,PAINT,FOO,0.0,version1
7,6425658c2709bfc144c2e617,7,PAINT,,0.0,version1
8,6426bb982709bfc144c300fb,8,PAINT,FES,0.0,version1
9,64562e2d3aa9895f1b24817d,9,PAINT,FES,0.0,version1
10,6391bf32473e71ee5e3759a0,10,PAINT,FOO,0.0,version1
11,64f6f7e6b5f53940ba779c60,11,PAINT,FES,0.0,version1
12,64e81a46b5f53940ba76fbbf,12,PAINT,OBJ,0.0,version1
13,6447a2f601e6c46b636d9573,13,PAINT,PET,0.0,version1
14,64621f7d3aa9895f1b2508fa,14,PAINT,FES,0.0,version1
15,64ae9ef09313055ba53215be,15,PAINT,FOO,0.0,version1
16,63fdf32a4ecce27a6fdffdb1,16,PAINT,PET,0.0,version1
