sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6278da08adf1572982bba698,1,PAINT,,0.0,version1
2,62209100ef73fcd39811c3fa,2,PAINT,,0.0,version1
3,627e165ee60a99787306baba,3,PAINT,,0.0,version1
4,627e165de60a99787306bab8,4,PAINT,,0.0,version1
5,621f5edbef73fcd39811af42,5,PAINT,,0.0,version1
6,626b8b26adf1572982bb6682,6,PAINT,,0.0,version1
7,627e1660e60a99787306babc,7,PAINT,,0.0,version1
8,626b8b23adf1572982bb667e,8,PAINT,,0.0,version1
9,627b81cfe60a99787306a991,9,PAINT,,0.0,version1
10,627e165de60a99787306bab9,10,PAINT,,0.0,version1
11,621f5ed4ef73fcd39811aeb3,11,PAINT,,0.0,version1
12,6229bb0bd04cbab22ad68aa6,12,PAINT,,0.0,version1
13,6278da07adf1572982bba697,13,PAINT,,0.0,version1
14,6229bb0cd04cbab22ad68ad3,14,PAINT,,0.0,version1
15,627e165fe60a99787306babb,15,PAINT,,0.0,version1
16,62482dee24cb8e8b164e0821,16,PAINT,,0.0,version1
