sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62c809f69876e4a1a6009d5d,1,PAINT,FOO,0.0,version1
2,62d13f6df5ffecb013799e6f,2,PAINT,FOO,0.0,version1
3,62cead50f5ffecb01379837a,3,PAINT,FOO,0.0,version1
4,62c809f79876e4a1a6009d5e,4,PAINT,FOO,0.0,version1
5,622ef8ffd04cbab22ad6a628,5,PAINT,FOO,0.0,version1
6,62cc0ca29876e4a1a600a54d,6,PAINT,FOO,0.0,version1
7,62c809f89876e4a1a6009d60,7,PAINT,FOO,0.0,version1
8,62cd5718f5ffecb013797a17,8,PAINT,FOO,0.0,version1
9,62cead50f5ffecb01379837b,9,PAINT,FOO,0.0,version1
10,61dffb9e6de5ebac1234f328,10,PAINT,FOO,0.0,version1
11,62cd5714f5ffecb013797a11,11,PAINT,FOO,0.0,version1
12,6229bb05d04cbab22ad689f5,12,PAINT,FOO,0.0,version1
13,62690e73d2a541bce167da78,13,PAINT,,0.0,version1
14,62d13f70f5ffecb013799e72,14,PAINT,FOO,0.0,version1
15,62763af0adf1572982bb9977,15,PAINT,FOO,0.0,version1
16,6231a66b3d8d16fe91a13b44,16,PAINT,FOO,0.0,version1
