sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,626119f1b571ac9f45e8ebd2,1,PAINT,,0.0,version1
2,618e482d6ac28a0ab9b2ca47,2,PAINT,,0.0,version1
3,626119edb571ac9f45e8ebce,3,PAINT,,0.0,version1
4,618e47b86ac28a0ab9b2ca3b,4,PAINT,,0.0,version1
5,626119f0b571ac9f45e8ebd1,5,PAINT,,0.0,version1
6,618e47756ac28a0ab9b2ca33,6,PAINT,,0.0,version1
7,618e4ceb6ac28a0ab9b2ca65,7,PAINT,,0.0,version1
8,618e4d036ac28a0ab9b2ca69,8,PAINT,,0.0,version1
9,618e4df26ac28a0ab9b2ca85,9,PAINT,,0.0,version1
10,618e4d396ac28a0ab9b2ca71,10,PAINT,,0.0,version1
11,618e47976ac28a0ab9b2ca37,11,PAINT,,0.0,version1
12,618e47d16ac28a0ab9b2ca3f,12,PAINT,,0.0,version1
13,618e484b6ac28a0ab9b2ca4b,13,PAINT,,0.0,version1
14,618e4cd16ac28a0ab9b2ca61,14,PAINT,,0.0,version1
15,618e4bf86ac28a0ab9b2ca55,15,PAINT,,0.0,version1
16,618e47ea6ac28a0ab9b2ca43,16,PAINT,,0.0,version1
