sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,645a172e3aa9895f1b24a200,1,PAINT,PET,0.0,version1
2,64b64e5d9313055ba532ae09,2,PAINT,FES,0.0,version1
3,64b6522a9313055ba532aea5,3,PAINT,PET,0.0,version1
4,64635755f2485c91428d43eb,4,PAINT,ANI,0.0,version1
5,63454f2cdf60b1b10e0fbaa6,5,PAINT,PET,0.0,version1
6,6364ef7da3145f1256fd86c6,6,PAINT,,0.0,version1
7,63f34a5cd68059c52c6f5f6f,7,PAINT,PET,0.0,version1
8,652e1f5b2c6230b0ee483733,8,PAINT,,0.0,version1
9,642aa0f52709bfc144c31df7,9,PAINT,PET,0.0,version1
10,64490d8201e6c46b636de83a,10,PAINT,PET,0.0,version1
11,645380a63aa9895f1b24536d,11,PAINT,PET,0.0,version1
12,6477326e9fee2ae4d98f00f2,12,PAINT,PET,0.0,version1
13,647db58f9fee2ae4d98f29dd,13,PAINT,PET,0.0,version1
14,647f05999fee2ae4d98f337b,14,PAINT,PET,0.0,version1
15,64c78c65890be1665696b147,15,PAINT,PET,0.0,version1
16,64f927d7b5f53940ba77ba81,16,PAINT,PET,0.0,version1
