sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61a49fc0803b9e4a449fbd95,1,PAINT,,0.0,version1
2,61b0502fce77137cb5f58bf2,2,PAINT,,0.0,version1
3,61bc7ad6c5eb11567ead4355,3,PAINT,,0.0,version1
4,63568318a3145f1256fc8d26,4,PAINT,,0.0,version1
5,61a49fc0803b9e4a449fbd96,5,PAINT,,0.0,version1
6,6374ba4e231933abb2703e5b,6,PAINT,,0.0,version1
7,63494118df60b1b10e0fea3e,7,PAINT,ANI,0.0,version1
8,61a49fc0803b9e4a449fbd99,8,PAINT,,0.0,version1
9,61a4a20f803b9e4a449fbe15,9,PAINT,,0.0,version1
10,61b050e6ce77137cb5f58c45,10,PAINT,,0.0,version1
11,61b05102ce77137cb5f58c4f,11,PAINT,,0.0,version1
12,61a49fc0803b9e4a449fbd94,12,PAINT,,0.0,version1
13,6356827aa3145f1256fc8cfe,13,PAINT,ANI,0.0,version1
14,63d61bcc15945b39859900e0,14,PAINT,,0.0,version1
15,63ecb2731be6ac9ae0a1ae6d,15,PAINT,ANI,0.0,version1
16,63f8bd0b097b43395ea24952,16,PAINT,ANI,0.0,version1
