sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,623d767a3e769fc803e13297,1,PAINT,LAN,0.0,version1
2,623d76743e769fc803e13290,2,PAINT,ANI,0.0,version1
3,63639ae8a3145f1256fd0304,3,PAINT,LAN,0.0,version1
4,6362459da3145f1256fcee2e,4,PAINT,man_made_scenery,0.0,version1
5,623d76783e769fc803e13294,5,PAINT,ART,0.0,version1
6,6362459ca3145f1256fcee2d,6,PAINT,man_made_scenery,0.0,version1
7,623d76743e769fc803e1328f,7,PAINT,ANI,0.0,version1
8,636a2a50a3145f1256fdd7fe,8,PAINT,,0.0,version1
9,623d76763e769fc803e13292,9,PAINT,ANI,0.0,version1
10,6360f497a3145f1256fcdd83,10,PAINT,,0.0,version1
11,63639ae7a3145f1256fd0303,11,PAINT,LAN,0.0,version1
12,636245baa3145f1256fcee55,12,PAINT,OBJ,0.0,version1
13,636a2a4da3145f1256fdd7fa,13,PAINT,OBJ,0.0,version1
14,636245bba3145f1256fcee56,14,PAINT,LAN,0.0,version1
15,623d76793e769fc803e13295,15,PAINT,OBJ,0.0,version1
16,623d76773e769fc803e13293,16,PAINT,ANI,0.0,version1
