sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,643556a0f912e511cc9e336a,1,PAINT,FLO,0.0,version1
2,62da79fbf5ffecb01379e772,2,PAINT,man_made_scenery,0.0,version1
3,6422da1e2709bfc144c2a716,3,PAINT,NAT,0.0,version1
4,6422da1d2709bfc144c2a715,4,PAINT,charming_houses,0.0,version1
5,62d544ebf5ffecb01379b8d4,5,PAINT,FLO,0.0,version1
6,6426bb812709bfc144c300d2,6,PAINT,man_made_scenery,0.0,version1
7,6435569cf912e511cc9e334f,7,PAINT,NAT,0.0,version1
8,6426bb672709bfc144c300aa,8,PAINT,NAT,0.0,version1
9,638499f48062ac7fcbcb2c0c,9,PAINT,SEA,0.0,version1
10,642aa0f52709bfc144c31df8,10,PAINT,FLO,0.0,version1
11,642e95b66a19448e1f86bb58,11,PAINT,man_made_scenery,0.0,version1
12,61b07c9ce7429fa60678cd3a,12,PAINT,,0.0,version1
13,6364ef80a3145f1256fd86cb,13,PAINT,man_made_scenery,0.0,version1
14,641c3e862709bfc144c23bf3,14,PAINT,countryside,0.0,version1
15,6327e20a60de5ff993ed2b70,15,PAINT,man_made_scenery,0.0,version1
16,642bfebc2709bfc144c33ac8,16,PAINT,FLO,0.0,version1
