sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a079361,1,PAINT,,0.0,version1
2,6141f34541bd31b55a079399,2,PAINT,,0.0,version1
3,6141f34541bd31b55a0793a6,3,PAINT,,0.0,version1
4,6141f34541bd31b55a07936d,4,PAINT,,0.0,version1
5,6141f34541bd31b55a0793ab,5,PAINT,,0.0,version1
6,6141f34541bd31b55a0793b2,6,PAINT,,0.0,version1
7,6141f34541bd31b55a07937e,7,PAINT,,0.0,version1
8,6141f34541bd31b55a079367,8,PAINT,,0.0,version1
9,6141f34541bd31b55a079375,9,PAINT,,0.0,version1
10,6141f34541bd31b55a0793b8,10,PAINT,,0.0,version1
11,6141f34541bd31b55a0793bf,11,PAINT,,0.0,version1
12,6141f34541bd31b55a07935b,12,PAINT,,0.0,version1
13,6141f34541bd31b55a079383,13,PAINT,,0.0,version1
14,6141f34541bd31b55a07938c,14,PAINT,,0.0,version1
15,6141f34541bd31b55a079392,15,PAINT,,0.0,version1
16,6141f34541bd31b55a07939f,16,PAINT,,0.0,version1
