sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,619eee8b2e0553e7d8b57b19,1,PAINT,,0.0,version1
2,61a88026c1556423f09ae49e,2,PAINT,,0.0,version1
3,619ee9672e0553e7d8b57934,3,PAINT,,0.0,version1
4,619eee622e0553e7d8b57b11,4,PAINT,,0.0,version1
5,619eeea22e0553e7d8b57b27,5,PAINT,,0.0,version1
6,621f5ed6ef73fcd39811aee2,6,PAINT,,0.0,version1
7,619eee522e0553e7d8b57b0d,7,PAINT,,0.0,version1
8,619eed512e0553e7d8b57ab5,8,PAINT,,0.0,version1
9,61a73c91ad22f796bd05402e,9,PAINT,,0.0,version1
10,61a4442385bcd1c083294002,10,PAINT,,0.0,version1
11,621f5ed9ef73fcd39811af32,11,PAINT,,0.0,version1
12,61a88025c1556423f09ae498,12,PAINT,,0.0,version1
13,619b63069f7909c54dd48856,13,PAINT,,0.0,version1
14,619f4f207fb8b15532ef843f,14,PAINT,,0.0,version1
15,619b62ed9f7909c54dd48852,15,PAINT,,0.0,version1
16,61a88026c1556423f09ae49b,16,PAINT,,0.0,version1
