sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,617a6d8bb5e166506a83acb9,1,PAINT,,0.0,version1
2,617a6df7b5e166506a83accd,2,PAINT,,0.0,version1
3,618a2f486ac28a0ab9b2be64,3,PAINT,,0.0,version1
4,617667dbb5e166506a83a438,4,PAINT,,0.0,version1
5,618a2f896ac28a0ab9b2be70,5,PAINT,,0.0,version1
6,618a2e3e6ac28a0ab9b2be44,6,PAINT,,0.0,version1
7,618a2ddf6ac28a0ab9b2be34,7,PAINT,,0.0,version1
8,618cd3ce6ac28a0ab9b2c39d,8,PAINT,,0.0,version1
9,61766ba0b5e166506a83a464,9,PAINT,,0.0,version1
10,618cd4de6ac28a0ab9b2c407,10,PAINT,,0.0,version1
11,618cd4786ac28a0ab9b2c3d4,11,PAINT,,0.0,version1
12,618a2f6d6ac28a0ab9b2be6c,12,PAINT,,0.0,version1
13,618cd4106ac28a0ab9b2c3bc,13,PAINT,,0.0,version1
14,618a2ffb6ac28a0ab9b2be7c,14,PAINT,,0.0,version1
15,618a2fe16ac28a0ab9b2be78,15,PAINT,,0.0,version1
16,618cd4a86ac28a0ab9b2c3ee,16,PAINT,,0.0,version1
