sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,630df37760de5ff993eb6295,1,PAINT,AUT,0.0,version1
2,630ca5e1c27290e69f19356e,2,PAINT,FLO,0.0,version1
3,6331846660de5ff993ed7dad,3,PAINT,FOO,0.0,version1
4,630df37b60de5ff993eb629a,4,PAINT,AUT,0.0,version1
5,630df37360de5ff993eb628f,5,PAINT,FLO,0.0,version1
6,630ca5ddc27290e69f193568,6,PAINT,FLO,0.0,version1
7,630df37a60de5ff993eb6299,7,PAINT,AUT,0.0,version1
8,630df37560de5ff993eb6292,8,PAINT,AUT,0.0,version1
9,630df37560de5ff993eb6293,9,PAINT,AUT,0.0,version1
10,630df37860de5ff993eb6296,10,PAINT,AUT,0.0,version1
11,6331846f60de5ff993ed7dc0,11,PAINT,FOO,0.0,version1
12,6331847260de5ff993ed7dc3,12,PAINT,FOO,0.0,version1
13,6332cf18df60b1b10e0f596e,13,PAINT,FOO,0.0,version1
14,6332cf36df60b1b10e0f59ab,14,PAINT,,0.0,version1
15,630df37260de5ff993eb628e,15,PAINT,AUT,0.0,version1
16,6332cf1bdf60b1b10e0f5973,16,PAINT,AUT,0.0,version1
