sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61977095750e3c7dcc134884,1,PAINT,,0.0,version1
2,61976bd0750e3c7dcc1347ae,2,PAINT,,0.0,version1
3,61976ff7750e3c7dcc134867,3,PAINT,,0.0,version1
4,61976ac0750e3c7dcc134773,4,PAINT,,0.0,version1
5,61976fdb750e3c7dcc13485f,5,PAINT,,0.0,version1
6,61976e9d750e3c7dcc13482b,6,PAINT,,0.0,version1
7,61976d83750e3c7dcc1347f7,7,PAINT,,0.0,version1
8,61976e30750e3c7dcc134817,8,PAINT,,0.0,version1
9,61976ec9750e3c7dcc134833,9,PAINT,,0.0,version1
10,6177cdd7b5e166506a83a9d4,10,PAINT,,0.0,version1
11,61976b37750e3c7dcc13478a,11,PAINT,,0.0,version1
12,6177cb8ab5e166506a83a98c,12,PAINT,,0.0,version1
13,61976b07750e3c7dcc134782,13,PAINT,,0.0,version1
14,6177c920b5e166506a83a8ca,14,PAINT,,0.0,version1
15,61a73ddfad22f796bd054042,15,PAINT,,0.0,version1
16,6177cc87b5e166506a83a9b0,16,PAINT,,0.0,version1
