sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62836631e60a99787306ceed,1,PAINT,,0.0,version1
2,62ecf449892f399c79a72324,2,PAINT,DRA,0.0,version1
3,62ecf446892f399c79a7231f,3,PAINT,DRA,0.0,version1
4,62836632e60a99787306cef1,4,PAINT,,0.0,version1
5,62836632e60a99787306ceef,5,PAINT,,0.0,version1
6,62ecf447892f399c79a72321,6,PAINT,DRA,0.0,version1
7,6278d024adf1572982bba56e,7,PAINT,,0.0,version1
8,6527f73697f5d3b3dfba722e,8,PAINT,,0.0,version1
9,62f4e8c5892f399c79a7549f,9,PAINT,,0.0,version1
10,62f4e8c2892f399c79a7549c,10,PAINT,,0.0,version1
11,620df6c208a98e2f5a003e8f,11,PAINT,,0.0,version1
12,61d3f1a17412358bc7cb5b14,12,PAINT,,0.0,version1
13,62a2e772cce6b2f7f5191879,13,PAINT,,0.0,version1
14,627b81e4e60a99787306a9a4,14,PAINT,DRA,0.0,version1
15,62ecf448892f399c79a72323,15,PAINT,DRA,0.0,version1
16,62ecf447892f399c79a72320,16,PAINT,DRA,0.0,version1
