sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61790f7fb5e166506a83abae,1,PAINT,,0.0,version1
2,616570775c98194a75b8985a,2,PAINT,,0.0,version1
3,6177c70eb5e166506a83a884,3,PAINT,,0.0,version1
4,6165711e5c98194a75b89872,4,PAINT,,0.0,version1
5,6177c745b5e166506a83a88c,5,PAINT,,0.0,version1
6,616573e75c98194a75b898c8,6,PAINT,,0.0,version1
7,6177c6e8b5e166506a83a880,7,PAINT,,0.0,version1
8,616fe899b9ac9205edbd0ea2,8,PAINT,,0.0,version1
9,616fea1cb9ac9205edbd0ed1,9,PAINT,,0.0,version1
10,616fe23ab9ac9205edbd0df1,10,PAINT,,0.0,version1
11,616feab9b9ac9205edbd0ee3,11,PAINT,,0.0,version1
12,616fe38bb9ac9205edbd0e05,12,PAINT,,0.0,version1
13,616fe818b9ac9205edbd0e89,13,PAINT,,0.0,version1
14,616fe867b9ac9205edbd0e91,14,PAINT,,0.0,version1
15,616fec1cb9ac9205edbd0f30,15,PAINT,,0.0,version1
16,616fe56fb9ac9205edbd0e31,16,PAINT,,0.0,version1
