sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62c2bbea9876e4a1a6007792,1,PAINT,FLO,0.0,version1
2,62c2bbeb9876e4a1a6007793,2,PAINT,FLO,0.0,version1
3,6225e078a92e1086b4e26192,3,PAINT,FLO,0.0,version1
4,6215d99fa58eb44be7af98d6,4,PAINT,FLO,0.0,version1
5,62c2bbe79876e4a1a600778e,5,PAINT,FLO,0.0,version1
6,62bd8fe69876e4a1a6005e1f,6,PAINT,FLO,0.0,version1
7,6215dc0ea58eb44be7af997b,7,PAINT,FLO,0.0,version1
8,62bd8fe39876e4a1a6005e1b,8,PAINT,FLO,0.0,version1
9,6225e167a92e1086b4e261a0,9,PAINT,FLO,0.0,version1
10,62c2bbe99876e4a1a6007791,10,PAINT,FLO,0.0,version1
11,62bd8fe29876e4a1a6005e1a,11,PAINT,FLO,0.0,version1
12,62c2bbe39876e4a1a6007789,12,PAINT,FLO,0.0,version1
13,62bd8fe59876e4a1a6005e1e,13,PAINT,FLO,0.0,version1
14,6215de56a58eb44be7af9a44,14,PAINT,FLO,0.0,version1
15,6215d7c3a58eb44be7af980f,15,PAINT,FLO,0.0,version1
16,6225e1c9a92e1086b4e261a4,16,PAINT,FLO,0.0,version1
