sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,637b5808231933abb2706d40,1,PAINT,FLO,0.0,version1
2,63775f2f231933abb2706098,2,PAINT,FLO,0.0,version1
3,637b5802231933abb2706d37,3,PAINT,FLO,0.0,version1
4,638886428062ac7fcbcb568a,4,PAINT,TRA,0.0,version1
5,6389d90a8062ac7fcbcb6584,5,PAINT,TRA,0.0,version1
6,6380b8618062ac7fcbcb1f44,6,PAINT,SPR,0.0,version1
7,63775f2c231933abb2706094,7,PAINT,FLO,0.0,version1
8,63775f2d231933abb2706096,8,PAINT,FLO,0.0,version1
9,637cb5a0231933abb2707c0a,9,PAINT,FLO,0.0,version1
10,637b5809231933abb2706d41,10,PAINT,FLO,0.0,version1
11,63775f2b231933abb2706093,11,PAINT,FLO,0.0,version1
12,637b5806231933abb2706d3e,12,PAINT,FLO,0.0,version1
13,637b580f231933abb2706d4a,13,PAINT,FLO,0.0,version1
14,637b5806231933abb2706d3d,14,PAINT,FLO,0.0,version1
15,6389d9138062ac7fcbcb6590,15,PAINT,TRA,0.0,version1
16,637cb5a2231933abb2707c0d,16,PAINT,FLO,0.0,version1
