sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,641996d82709bfc144c1c833,1,PAINT,FES,0.0,version1
2,6426bb9d2709bfc144c30102,2,PAINT,OBJ,0.0,version1
3,641442b62709bfc144c17740,3,PAINT,FES,0.0,version1
4,64183c812709bfc144c19c5a,4,PAINT,FES,0.0,version1
5,63f8bcf7097b43395ea24936,5,PAINT,countryside,0.0,version1
6,64395461e616ced1543ba872,6,PAINT,,0.0,version1
7,6422da1b2709bfc144c2a712,7,PAINT,FES,0.0,version1
8,63e4d0331be6ac9ae0a17be1,8,PAINT,FES,0.0,version1
9,641442b62709bfc144c17742,9,PAINT,FES,0.0,version1
10,63c681922d7416019d9f3f0e,10,PAINT,FES,0.0,version1
11,641442b72709bfc144c17743,11,PAINT,FES,0.0,version1
12,642186df2709bfc144c283eb,12,PAINT,PET,0.0,version1
13,641442b32709bfc144c1773d,13,PAINT,FES,0.0,version1
14,64395463e616ced1543ba875,14,PAINT,,0.0,version1
15,6422da1c2709bfc144c2a714,15,PAINT,FES,0.0,version1
16,640859844ecce27a6fe062ed,16,PAINT,,0.0,version1
