sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,645e1ac23aa9895f1b24f31b,1,PAINT,PET,0.0,version1
2,645cbc593aa9895f1b24d657,2,PAINT,PET,0.0,version1
3,643e7268e616ced1543be7c7,3,PAINT,PET,0.0,version1
4,64562e243aa9895f1b248172,4,PAINT,PET,0.0,version1
5,6458cdd93aa9895f1b248ad6,5,PAINT,PET,0.0,version1
6,6409dc174ecce27a6fe078dd,6,PAINT,PET,0.0,version1
7,643fc90de616ced1543c0932,7,PAINT,PET,0.0,version1
8,6458df213aa9895f1b248c1d,8,PAINT,PET,0.0,version1
9,640b06232198b6f62543e771,9,PAINT,PET,0.0,version1
10,6424055d2709bfc144c2c46e,10,PAINT,PET,0.0,version1
11,64635756f2485c91428d43ec,11,PAINT,PET,0.0,version1
12,641d935e2709bfc144c25d20,12,PAINT,PET,0.0,version1
13,6425659d2709bfc144c2e630,13,PAINT,PET,0.0,version1
14,643fc90ee616ced1543c0933,14,PAINT,PET,0.0,version1
15,63e2293915945b3985996809,15,PAINT,PET,0.0,version1
16,642bffe32709bfc144c33b2c,16,PAINT,PET,0.0,version1
