sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a07918f,1,PAINT,,0.0,version1
2,6141f34541bd31b55a079196,2,PAINT,,0.0,version1
3,6141f34541bd31b55a0791a3,3,PAINT,,0.0,version1
4,6141f34541bd31b55a0791e8,4,PAINT,,0.0,version1
5,6141f34541bd31b55a0791db,5,PAINT,,0.0,version1
6,6141f34541bd31b55a0791d4,6,PAINT,,0.0,version1
7,6141f34541bd31b55a0791cc,7,PAINT,,0.0,version1
8,6141f34541bd31b55a0791a8,8,PAINT,,0.0,version1
9,6141f34541bd31b55a0791b8,9,PAINT,,0.0,version1
10,6141f34541bd31b55a0791c0,10,PAINT,,0.0,version1
11,6141f34541bd31b55a0791ae,11,PAINT,,0.0,version1
12,6141f34541bd31b55a0791c5,12,PAINT,,0.0,version1
13,6141f34541bd31b55a07919c,13,PAINT,,0.0,version1
14,6141f34541bd31b55a0791e3,14,PAINT,,0.0,version1
15,6141f34541bd31b55a0791f0,15,PAINT,,0.0,version1
16,6141f34541bd31b55a0791f8,16,PAINT,,0.0,version1
